Ankara;(3. Yarış Günü);23/04/2026
1. Kosu :   14.00;Handikap 17/DHÖW /H1; 4 ve Yukarı Araplar; kg; 2200m; Kum;;;;Rekor Derece :2.35.48
İkramiye;;;;;Yetiştirici Primi;;;;
1.)795.000 TL;2.)318.000 TL;3.)159.000 TL;4.)79.500 TL;5.)39.750 TL;1.)190.800 TL;2.)76.320 TL;3.)38.160 TL;4.)19.080 TL;5.)9.540 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;SİDAR BEY KG K DB;5y k  a;SERHANTAY;İDAL SULTAN;57 +0.10;M.AKYAVUZ;ENVER TOYDEMİR;M.DEMİROL;5;%11.71(2);76;2:39.44;4,40;9 Boy
2;SÜPER SONİK KG SK;4y a  a;GÜMBÜRGÜMBÜR;KOŞKIZ;53,5 +1.80;V.ABİŞ;METİN KORUCU;RAM. KAYA;2;%50.32(1);75;2:41.48;1,55;4 Boy
3;KASAP ENDER KG DB SK;7y a  a;KARAÜZÜM;MAVİ GÖL;58;M.S.ÇELİK;YUNUS ADVAN;M.A.CANPOLATLI;8;%6.03(6);78;2:42.33;10,50;1,5  Boy
4;TAŞUCU KG DB;6y d  a;BABA MEVLÜT;KIZLARKIZI;51 +2.00;MÜS.ÇELİK;NAMIK TURAN;KE.YILMAZ;6;%7.12(4);64;2:42.60;8,85;4 Boy
5;NAZİKO SK;5y k k;UÇANBEY;ÇALKUYRUK;60;M.KIYAK AP;DENİZ GÖK;BAH.GÖK;3;%6.98(5);86;2:43.30;9,55;
6;ASAF BABA KG K;6y d  a;SAADIN GÜCÜ;BADRA;56 +0.10;M.N.SUNKAR;BİROL SÖKMEN;İ.ÇEÇAN;10;%2.7(7);74;2:43.85;17,75;
7;IRMAK SU KG DB SK GKR;6y k k;SARRAF;NESİBE ABLA;57,5;İSM.YILDIRIM AP;H.BASRİ TÜMÖZ;E.ACER;13 - DS;%10.1(3);81;2:47.48;6,10;
8;MOTOR KG SK;5y k  a;KARAÜZÜM;ABİDEM;60;SERH.ÇELİK AP;MEHMET KILINÇ;M.Ş.KILINÇ;11 - DS;%2.35(8);88;2:53.68;12,00;
9;BABADENİZ KG DB SK (Koşmaz);5y a  a;KAYAYÜREKLİ;CESİKA;61;K.DEMİREL AP;MEHMET DİLBER;SER.DOĞAN;1;%0.34(11);88;Koşmaz;;
10;HAYATIMINCANI KG DB SK (Koşmaz);6y a k;ŞİMŞEĞİNOĞLU;MERCAN SULTAN;56,5;M.A.AKGÖBEK AP;MEHMET DOĞAN;M.A.CANPOLATLI;4;%0.28(12);79;Koşmaz;;
11;ERİŞMİŞ KG GKR (Koşmaz);4y k  a;ŞAHİNTER;ÇİNARE;54;M.KAYA;SELİM KAYA;HÜS.KAYA;12 - DS;%1.15(9);76;Koşmaz;;
12;HABBE KG SK (Koşmaz);7y k k;KARAÜZÜM;CANSUDE;55,5;M.KESKİN;MUHAMMED KESKİN;HAS.YILDIRIM;9;%0.83(10);73;Koşmaz;;
13;ÇÖL PAŞA KG SK (Koşmaz);5y a  a;KARAÜZÜM;GÜLHÜSNÜGÜL;50;A.KAÇMAZ;SİNAN KILINÇ;M.A.CANPOLATLI;7;%0.09(13);60;Koşmaz;;
GANYAN(7) :4,40 TL, İKİLİ(7/10) :4,45 TL, SIRALI İKİLİ(7/10) :13,10 TL

2. Kosu :   14.30;Handikap 14/DHÖW /H2; 4 Yaşlı Araplar; kg; 2000m; Kum;;;;Rekor Derece :2.21.13
İkramiye;;;;;Yetiştirici Primi;;;;
1.)470.000 TL;2.)188.000 TL;3.)94.000 TL;4.)47.000 TL;5.)23.500 TL;1.)84.600 TL;2.)33.840 TL;3.)16.920 TL;4.)8.460 TL;5.)4.230 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;KARSAVURANLI KG DB SK;4y d  a;ÖZHABER;BALBADEMİM;56 +0.10;M.A.AKGÖBEK AP;VEHBİ ATEŞ;M.A.CANPOLATLI;11;%3.99(7);44;2:25.84;20,40;1 Boy
2;CEZZAR BEY DB SKG SK;4y k  a;AYABAKAN;UMUTÇİÇEĞİ;60,5;H.ÇİZİK;MAHMUT ÇADIRCI;KE.YILMAZ;10;%22.78(2);49;2:25.97;3,15;1 Boy
3;GAZNELİ KG K DB;4y d  a;UFUKBİR;TUTUNAN;53,5 +0.20;E.ÇİZİK;SAMİ DOĞAN;Ü.ARSLAN;4;%9.46(4);35;2:26.09;5,50;1 Boy
4;CİMİRİNGO KG SK;4y k  a;TAMERİNOĞLU;YILDIRIMKIZ;55 +1.50;M.G.ARSLAN;SERPİL AKAN;Y.MİSDİK;5;%3.37(9);38;2:26.23;18,45;1 Boy
5;NEŞET AĞA KG K;4y a  a;DENİZİM;LİTYA;54,5;A.KAÇMAZ;RABİA KARAEGE;A.E.BAŞ;6;%1.23(12);37;2:26.40;34,35;
6;ERSOYHAN KG DB;4y k  a;FİRİKYA;DİLASU;59,5;E.ÇANKAYA;ERAY KOKTAY;MER.KORKMAZ;2;%24.43(1);47;2:26.99;3,70;
7;DEDEBATUR KG SK;4y k  a;FİRİKYA;DEDESİNİN GÜLÜ;55,5;N.DEMİR;SEMA ULAŞ;C.DEMİR;7;%3.58(8);39;2:28.60;18,70;
8;AFŞARBEY DB SK GKR;4y k  a;TURBO;İLK KIZ;56 +0.10;A.KURŞUN;HAKKI GÜLAL;SEV.BEKTAŞ;3;%13.74(3);40;2:29.62;5,05;
9;YOSUNKAYA KG SK;4y d  a;SONALP;GÖKÇEADA;53 +0.50;M.T.COŞKUN AP;İREM NUR KAYA;RAM. KAYA;8;%1.52(11);40;2:30.14;23,50;
10;DENİZ SAVAŞI KG DB SK;4y a  a;GELİBOLU;MANİTA;55,5 +0.70;U.TEMUR;CEMAL TURAN;RAM. KAYA;12;%3.34(10);39;2:30.23;14,70;
11;TEYAR KG DB SK;4y k  a;KURUŞAĞA;DÜRİYE HANIM;55,5 +0.70;M.N.SUNKAR;FİDAN GÜVEN ;A.GÜVEN;13 - DS;%5.38(6);39;2:31.89;9,35;
12;KENAN HOCA KG DB SK;4y k  a;TAMERİNOĞLU;AYTUNCA;56 +1.10;M.S.ÇELİK;METİN ÇALDIRAN;İ.KÖROĞLU;9;%6.29(5);40;Derecesiz;11,15;
13;İLBARS KG SK GKR;4y a  a;GELİBOLU;ALNAZ;54;M.KESKİN;ALİ ARAS;MEH.ÇELİK;1;%0.89(13);36;Derecesiz;34,30;
GANYAN(3) :20,40 TL, İKİLİ(1/3) :48,30 TL, SIRALI İKİLİ(3/1) :130,90 TL, ÜÇLÜ BAHİS(3/1/13) :2.275,20 TL, PLASE(1) :2,50 TL, PLASE(3) :11,70 TL, PLASE İKİLİ(1/13) :9,80 TL, PLASE İKİLİ(1/3) :27,60 TL, PLASE İKİLİ(3/13) :28,30 TL, SIRALI 5 Lİ BAHİS(3/1/13/10/11) :177.170,62 TL, 1. ÇİFTE(7/3) :102,80 TL

3. Kosu :   15.00;ŞARTLI 4/DHÖW; 4 ve Yukarı Araplar; 58.00kg; 60.00 kg; 1400m; Kum;;;;Rekor Derece :1.34.92
İkramiye;;;;;Yetiştirici Primi;;;;
1.)595.000 TL;2.)238.000 TL;3.)119.000 TL;4.)59.500 TL;5.)29.750 TL;1.)107.100 TL;2.)42.840 TL;3.)21.420 TL;4.)10.710 TL;5.)5.355 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;ÖZGÜR RUH KG DB SK;5y k  a;TURBO;NEŞESEL;59;M.KIYAK AP;MURATCAN KANAR;E.ACER;3;%17.37(2);90;1:36.39;4,45;Yarım Boy
2;ROCK IRON DB;7y a  a;SULTAN DE FAUST (FR);NARGÜZELİ;56;N.DEMİR;AHMET KAYA;HÜS.KAYA;6;%1.21(7);95;1:36.47;15,95;2 Boy
3;ABBAS BEY KG K DB;5y k  a;UÇANOĞLU;PEKŞEKER;57;M.AKYAVUZ;ÖMER BİLİR;Ü.ARSLAN;4;%24.67(1);92;1:36.79;2,70;1 Boy
4;TUNÇDAĞ KG DB SK;8y d  a;ÖZDURAN;RAZİYE;62;M.KAYA;İBRAHİM HAKKI BOYRAZ;MER.KORKMAZ;11;%9.8(5);98;1:36.93;8,40;2,5 Boy
5;UZUN DALGA KG SK;7y k  a;ÖZGÜNHAN;BERSUN;59;SERH.ÇELİK AP;ERAY KOKTAY;MER.KORKMAZ;5;%14.48(3);95;1:37.46;4,00;
6;FIRTINA BEY KG DB;5y k  a;EMBİR HAN;HALENAY;58;A.KURŞUN;ŞEREF AĞRI;Ş.AYDEMİR;8;%7.89(6);81;1:38.05;10,05;
