İzmir;(42. Yarış Günü);05/04/2026
1. Kosu :   17.45;Maiden/DHÖW; 4 Yaşlı Araplar; 58.00kg; 1600m; Kum;;;;Rekor Derece :1.48.55
İkramiye;;;;;Yetiştirici Primi;;;;
1.)545.000 TL;2.)218.000 TL;3.)109.000 TL;4.)54.500 TL;5.)27.250 TL;1.)130.800 TL;2.)52.320 TL;3.)26.160 TL;4.)13.080 TL;5.)6.540 TL;
1;TOROS GÜZELİ KG DB SK;4y a k;APPROVE (IRE);DARGA;52,5 +0.70;Ö.F.ÖZEN AP;RUHAT SOL;B.ÇELTİK;8;%10.78(5)  %9.89(5);40;1:28.09;8,35;2,5 Boy
2;LAYETEZELZEL K DB;4y d k;CATAPULT (USA);MISS HEARTBREAKER;59,5;N.AVCİ;YUSUF TAŞDEMİR;Y.GÜNDOĞDİ;6;%17.55(2)  %16.46(3);54;1:28.43;4,20;Boyun
3;GULAZER SK;4y d k;GRAYSTORM;HAYAT;52 +1.00;S.AKŞIN AP;FERİDUN KILIÇASLAN;B.ÖZGÜR;9;%13.8(4)  %14(4);45;1:28.48;4,80;2 Boy
4;YAĞMUR FIRTINASI KG DB SK;4y k k;GRAYSTORM;CERISE ROSE;50;B.BÜLBÜL AP;NURULLAH ASTAN;S.C.GÖZÜNGÜ;7;%6.35(7)  %6.32(7);31;1:28.77;14,90;3 Boy
5;WINGS OF FREEDOM DB SK;4y d k;EUPRHATES (USA);ERENLER KIZI;50 +2.00;İ.S.SÖĞÜT;ŞEREF ERDİK;A.ATAŞ;2;%1.39(10)  %1.41(10);34;1:29.18;44,85;
6;GEMLIK IN KIZI SKG SK;4y a k;GRAYSTORM;SCABALL;53 +2.00;M.M.BİLGİN;AYHAN KORKMAZ;B.BOZBEY;3;%17.14(3)  %17.64(2);41;1:29.37;3,35;
7;DUYARLI K DB SKG;4y a k;AGRESIVO (USA);NEW SURAL;60;M.B.ÖNCEL AP;MELİH KAHRAMAN;Y.TALUK;1;%19.27(1)  %20.66(1);61;1:29.48;3,10;
8;TIMELESS KG K DB;5y a k;SUPER SAVER (USA);KATUŞA;60,5;A.İNCİ;LEVENT DEMİR;H.DURMUŞ;11 - DS;%2.88(8)  %2.71(8);54;1:29.65;24,60;
9;LADY MACHIKO KG DB SK GKR;4y d k;TOROK (IRE);TRALLES GIRL;50 +1.40;E.KADİRLER AP;BAHAR AYBOĞA YAMAN;H.KURT;4;%1.77(9)  %1.75(9);35;1:30.43;29,85;
10;ELLADORA KG SK;4y a k;SUPER SAVER (USA);TROPICAL STORM;57,5;A.KÜRÜNDÜK;ALİ GÜNGÖR;E.ATEŞ;10;%8.25(6)  %8.3(6);50;1:30.83;8,40;
11;FALLON K;4y d k;SUPER SAVER (USA);KURŞUN;50 +1.50;E.D.ÖKTEN AP;ERHAN TUNA;N.GÖNÜLTAŞ;5;%0.82(11)  %0.86(11);12;1:32.26;57,75;
GANYAN(7) :8,35 TL, İKİLİ(2/7) :22,85 TL, SIRALI İKİLİ(7/2) :52,20 TL, 2. ÇİFTE(4/7) :40,65 TL

4. Kosu :   19.30;KV-6/DHÖW; 4 Yaşlı Araplar; 58.00kg; 1900m; Kum;;;;Rekor Derece :2.10.52
İkramiye;;;;;Yetiştirici Primi;;;;
1.)695.000 TL;2.)278.000 TL;3.)139.000 TL;4.)69.500 TL;5.)34.750 TL;1.)166.800 TL;2.)66.720 TL;3.)33.360 TL;4.)16.680 TL;5.)8.340 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;YENİBEY KG K DB;4y d  a;TAYKUT;KARABELGİN;56;M.M.BİLGİN;AYŞEGÜL HAYMANA;SEY.GÖKÇE;1;%15.26(4)  %14.79(4);71;2:13.71;4,00;6,5 Boy
2;ŞİMŞEKKIRAN KG DB SK;4y k  a;ORÇUN;TEMAŞA;60;A.İNCİ;C.AHMET ÇUKUROVA;C.T.KÖSE;5;%22.57(2)  %21.83(2);84;2:15.04;2,95;4 Boy
3;KIVILCIM ATEŞİ KG DB;4y a k;DEMİRTURBO;KIVILCIM;58;A.MEH.ALTIN AP;ALİ KÖŞGER;B.ÖZGÜR;6;%6.1(6)  %6.45(6);76;2:15.75;15,55;Yarım Boy
4;YILMA TAY KG DB SK;4y a  a;YILMABAŞAR;EMEL HALA;61;N.AVCİ;CÜNEYT YILDIZHAN;Y.AKBULUT;2;%17.73(3)  %17.12(3);71;2:15.82;4,35;7 Boy
5;FERMAN YAZAR KG K DB;4y d  a;TÜMÖZ BEY;NAZLI ŞİMŞEK;56;M.KEÇECİ AP;FIRAT KÖKSAL;EK.TURAN;8 - DS;%28.03(1)  %28.75(1);77;2:17.33;2,35;
6;ANADOLU MUHAFIZI KG K DB;4y a  a;TAYKUT;SİNİ GÜZELİ;54;Ö.F.ÖZEN AP;İSMET ÇİFTÇİ;İ.ALP.TAMER;3;%1.18(8)  %1.26(8);33;2:20.64;37,05;
7;KALENDER TAY KG DB SK;4y a  a;ONURKAAN;AYKURUŞ;54 +1.00;B.M.MIRIK;SEVİM KARACA;S.C.GÖZÜNGÜ;4;%6.71(5)  %6.65(5);59;2:23.71;10,75;
8;FEHİMOĞLU KG DB SK;4y k  a;DEMİRTURBO;ZÜLAL;55;İ.S.SÖĞÜT;MEHMET HASİP TORAMAN;S.C.GÖZÜNGÜ;7 - DS;%2.43(7)  %3.16(7);51;Derecesiz;14,85;
GANYAN(5) :4,00 TL, 1. 3'LÜ GANYAN(3,4,5/7/5) :308,00 TL, İKİLİ(2/5) :11,20 TL, SIRALI İKİLİ(5/2) :19,50 TL, ÜÇLÜ BAHİS(5/2/3) :247,00 TL, PLASE(2) :2,80 TL, PLASE(5) :2,25 TL, 3. ÇİFTE(7/5) :64,00 TL

5. Kosu :   20.00;KV-9; 4 ve Yukarı İngilizler; 58.00kg; 59.50 kg; 1600m; Kum;;;;Rekor Derece :1.37.63
İkramiye;;;;;Yetiştirici Primi;;;;
1.)1.100.000 TL;2.)440.000 TL;3.)220.000 TL;4.)110.000 TL;5.)55.000 TL;1.)264.000 TL;2.)105.600 TL;3.)52.800 TL;4.)26.400 TL;5.)13.200 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;EL CACİQUE DB SKG SK;4y d  a;INVINCIBLE SON (IRE);CARLY BABY;58;M.M.BİLGİN;MURAT DEMİR;D.TEKELİ;3;%14.66(4)  %14.15(5);76;1:39.76;4,00;3,5 Boy
2;BALANCE OF POWER DB SK;5y d  a;AIR VICE MARSHAL (USA);OX PLACE (USA);59,5;N.AVCİ;MELİS KURTEL EMİN;B.GÜL;5;%15.13(3)  %14.28(4);89;1:40.33;5,20;3 Boy
3;CAN EFE K DB;5y d  a;HAKEEM (USA);RUN FOR VICTORY;59,5;M.KEÇECİ AP;MUSTAFA ALKAN;Y.AKKILIÇ;1;%38.51(1)  %38.82(1);98;1:40.81;1,80;6,5 Boy
4;ICE BEAR DB SK;5y k  a;GRAYSTORM;ART LADY;59,5;B.M.MIRIK;DENİZ AÇIK;M.YAYAN;2;%13.68(5)  %14.53(3);91;1:42.10;3,70;1 Boy
5;QUANTUM OF SOLACE KG DB;4y k  a;GAZIBORA KHAN (GB);DIREHORSE (IRE);58;A.MEH.ALTIN AP;RECEP DİKKULE;Y.AKKILIÇ;7 - DS;%17.66(2)  %17.96(2);82;1:42.26;4,50;
6;TORUN YUSUF DB SKG SK (Koşmaz);6y d  a;FAST 'N' FAMOUS (AUS);LINDORA;59,5;Y.GÖKÇE AP;YASİN GÖZEL;HAK.ASLAN;6;%0.17(7)  %0.12(7);93;Koşmaz;;
7;CANTALOUPE DB SK (Koşmaz);6y d k;PAPA CLEM (USA);LAİK KIZ;57,5;A.KÜRÜNDÜK;A.CEYDA FEYZULLAH;C.YILDIRIM;4;%0.18(6)  %0.13(6);95;Koşmaz;;
GANYAN(5) :4,00 TL, İKİLİ(1/5) :16,20 TL, SIRALI İKİLİ(5/1) :43,55 TL, ÜÇLÜ BAHİS(5/1/2) :238,80 TL Çıkan 1 Atla: 32,40 TL Çıkan 2 Atla: 8,00 TL, 4. ÇİFTE(5/5) :36,60 TL

6. Kosu :  GÜR ÖZBELGE KOŞUSU 20.30;KV-9; 3 Yaşlı İngilizler; 58.00kg; 1400m; Kum;;;;Rekor Derece :1.24.15
İkramiye;;;;;Yetiştirici Primi;;;;
1.)1.100.000 TL;2.)440.000 TL;3.)220.000 TL;4.)110.000 TL;5.)55.000 TL;1.)264.000 TL;2.)105.600 TL;3.)52.800 TL;4.)26.400 TL;5.)13.200 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;HARD RUNNER SK;3y a  e;GOOD CURRY;DAKİNİ;58;H.KARATAŞ;ALİ TOYDEMİR;O.DEMİR;5;%91.28(1)  %90.58(1);86;1:27.92;1,05;5 Boy
2;SECRET FLIGHT K SKG;3y d  e;KLIMT (USA);EDUL;58;N.AVCİ;NURDENİZ EMRE;M.KARACA;1;%4.36(2)  %4.66(2);60;1:28.92;7,05;3,5 Boy
3;TIZ A BELLA K DB;3y d  d;TIZWAY (USA);RUN FOR VICTORY;56;M.KEÇECİ AP;CÜNEYT İŞÇİ;Y.AKKILIÇ;4;%2.94(3)  %3.44(3);55;1:29.58;14,45;4,5 Boy
4;PİYASA KG K DB;3y d  d;MARCAVELLY (USA);KEYSE TUGEN;56;B.M.MIRIK;FEDAİ KAHRAMAN;Y.TALUK;2;%0.84(4)  %0.77(4);38;1:30.42;21,10;5 Boy
5;ROSİLDA K DB;3y a  d;CEMCEM;FANCYCHANCY;56;Y.GÖKÇE AP;A.EFE KANMAN;S.ŞAHYAZICI;3;%0.58(5)  %0.55(5);39;1:31.36;26,40;
GANYAN(1) :1,05 TL, 1. 6'LI GANYAN(5,6/3,4,5/7/5/5/1) :2.584,50 TL, SIRALI İKİLİ(1/2) :1,90 TL, 5. ÇİFTE(5/1) :8,10 TL

7. Kosu :   21.00;Maiden/DHÖW; 4 Yaşlı Araplar; 58.00kg; 1600m; Kum;;;;Rekor Derece :1.48.55
İkramiye;;;;;Yetiştirici Primi;;;;
1.)545.000 TL;2.)218.000 TL;3.)109.000 TL;4.)54.500 TL;5.)27.250 TL;1.)130.800 TL;2.)52.320 TL;3.)26.160 TL;4.)13.080 TL;5.)6.540 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;NALDÖKEN PRENSİ KG K;4y d  a;TAYKUT;FOSFOR;54;Y.GÖKÇE AP;BEKİR CANPOLAT;O.TAŞDEMİR;1;%22.7(2);;1:53.21;2,35;3,5 Boy
2;DEMON HUNTER KG K;4y a  a;BAŞ HÜKÜMDAR;KISMET KIZ;55;Ö.F.ÖZEN AP;NUSRET ÖZBAĞ;A.ÖKSÜZLER;2;%28.11(1);;1:53.80;2,40;6 Boy
3;MURJAN DB SKG SK;4y k  a;TAMERİNOĞLU;KAFKAS FİLİZİ;54;B.BÜLBÜL AP;FERİT MENGİ;S.C.GÖZÜNGÜ;6;%1.03(8);9;1:55.01;34,00;2 Boy
4;HAYLAZKIZ SKG SK SGKR;4y k k;SERDÜMEN;ÇITIRKIZ;56;B.M.MIRIK;ALİ KAYA;A.ATAŞ;8 - DS;%10.18(5);23;1:55.41;6,60;2 Boy
5;AYBUGA KG;4y a k;SERDÜMEN;SABIKAKIZI;58;İ.S.SÖĞÜT;AYSEL BAYDAN;E.C.BAYDAN;4;%12.58(4);28;1:55.81;8,85;
6;TAYTUNGA KG DB SK;4y a  a;TAYKUT;EMİRHATUN;60;M.M.BİLGİN;ORHAN DURMUŞ;H.DURMUŞ;7;%19.57(3);31;2:00.43;3,85;
7;DERBAS KG;4y a  a;SERDÜMEN;MAYDANOZ;55;E.KADİRLER AP;ERCAN SÖKMEZ;S.C.GÖZÜNGÜ;3;%4.19(6);21;2:03.77;15,65;
8;EFSANE POLAT KG SK;4y a  a;CÖMERTKAN;ZERNİŞAN;55 +0.40;M.KEÇECİ AP;NECMETTİN POLAT;N.GÖNÜLTAŞ;5;%1.65(7);;2:10.08;27,25;
GANYAN(6) :2,35 TL, İKİLİ(2/6) :4,15 TL, SIRALI İKİLİ(6/2) :5,60 TL, ÜÇLÜ BAHİS(6/2/5) :284,70 TL, PLASE(2) :1,55 TL, PLASE(6) :1,30 TL, 6. ÇİFTE(1/6) :2,35 TL

8. Kosu :   21.30;Handikap 16/DHÖW/Dişi /H1; 4 ve Yukarı Araplar; kg; 1400m; Kum;;;;Rekor Derece :1.32.97
İkramiye;;;;;Yetiştirici Primi;;;;
1.)630.000 TL;2.)252.000 TL;3.)126.000 TL;4.)63.000 TL;5.)31.500 TL;1.)113.400 TL;2.)45.360 TL;3.)22.680 TL;4.)11.340 TL;5.)5.670 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;REYHAN GELİN KG SK;5y a k;TURBO;CUNDAVİLLA;60;A.İNCİ;ABDULLAH KAYA;C.T.KÖSE;12;%4.21(9);62;1:36.24;10,80;3 Boy
2;AHUU ATA KG SK;5y a k;UÇANBEY;KISIRDÖNGÜ;59;M.M.BİLGİN;FARUK ATEŞ;M.KAYA;1;%22.32(1);60;1:36.74;3,65;1,5  Boy
3;YARENYAR KG DB SK;5y k k;AKOĞUZ;NES;51;B.BÜLBÜL AP;İLHAN TALHA KÖMÜROĞLU;İ.ALTINÖZ;14;%4.78(6);44;1:36.93;13,55;2,5 Boy
4;HAREMLİ KIZ KG SK GKR;4y a k;TAYKUT;HAREM;52,5 +1.00;R.KETME AP;EMİNE ALTIN;HAK.ASLAN;3;%10.42(3);57;1:37.28;5,35;Baş
5;BENDEME KG DB SK;5y d k;SAADIN GÜCÜ;ZENGİN KIZ;56,5;A.MEH.ALTIN AP;RECEP DİKKULE;Y.AKKILIÇ;5;%7.07(5);59;1:37.31;9,40;
6;TÜRKAN HANIM KG DB SK;5y k k;ORÇUN;TEMAŞA;63;A.KÜRÜNDÜK;ALİ KÖŞGER;B.ÖZGÜR;8;%7.69(4);68;1:37.32;9,60;
7;ARLİNHAN KG DB SK;5y k k;TAMERİNOĞLU;NURSİNE;53 +0.80;N.AVCİ;CEREN AKTEPE;Ş.GÜMÜŞ;16;%15.4(2);48;1:37.71;4,35;
8;ÖZGÜLEN GÜZELİ KG K;5y k k;YILMABAŞAR;ÖZGÜLEN;53,5;Y.GÖKÇE AP;BEKİR CANPOLAT;O.TAŞDEMİR;4;%3.04(11);49;1:37.76;27,90;
