İzmir;(4. Yarış Günü);25/04/2026
1. Kosu :   16.15;Handikap 16/DHÖW /H2; 4 ve Yukarı Araplar; kg; 2200m; Kum;;;;Rekor Derece :2.32.28
İkramiye;;;;;Yetiştirici Primi;;;;
1.)630.000 TL;2.)252.000 TL;3.)126.000 TL;4.)63.000 TL;5.)31.500 TL;1.)113.400 TL;2.)45.360 TL;3.)22.680 TL;4.)11.340 TL;5.)5.670 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;ABUZER BABA KG DB SK;4y k  a;KIBRISLI;AKAD PRENSESİ;57;N.AVCİ;BARIŞ DURDAĞ;Y.GÜNDOĞDİ;3;%24.68(1);64;2:37.81;2,20;1 Boy
2;KAPTANPAŞALI KG DB;4y a  a;TAYKUT;DOLUDİZGİN;50 +2.00;O.ATMACA;MUZAFFER TENEKECİ;Ş.GÜMÜŞ;4;%22.53(2);48;2:37.97;4,60;Yarım Boy
3;GARİPLERBEYİ KG DB SK;6y a  a;KAIZBERT (RU);MOSTAR;54 +1.80;O.YILDIZ;AHMET KARACADAĞ;U.GÖKÇE;11;%2.63(9);52;2:38.05;26,10;1,5  Boy
4;SEMEND BATUR KG DB SK;5y k  a;SEMEND;NİGARIM;60;Ö.F.ÖZEN AP;BAHADIR YEŞİL;A.ATAŞ;5;%16.28(3);68;2:38.28;3,40;2 Boy
5;ASTEKPORT KG DB SK;4y k  a;FATİH AĞA;FATOŞCAN;54;R.KETME AP;MÜSLÜM ŞEKER;HAK.ASLAN;12;%1.53(10);64;2:38.56;50,45;
6;TÜRKAN HANIM KG DB SK;5y k k;ORÇUN;TEMAŞA;60;M.KEÇECİ AP;ALİ KÖŞGER;B.ÖZGÜR;6;%3.84(7);68;2:38.95;19,75;
7;ÖZGÜNALP KG;4y a  a;ÖZGÜNHAN;ÜLKÜNUR;59,5;M.ÇİÇEK;SEMİH KATI;M.DOLAK;13;%13.76(4);69;2:39.47;4,90;
8;ÖZGÜNSULTAN KG DB SK ÖG;5y d k;ÖZGÜNHAN;ZEYNEP SULTAN;58,5;A.İNCİ;CAN ERBAK;A.AYDOĞAN;9;%0.57(13);61;2:39.55;64,20;
9;ŞİFNE EFESİ DB SK;10y k  a;JOKER;ŞİFNELİ;58;E.AKPINAR AP;İRFAN BERBEROĞLU;F.ŞEN;8;%1.52(11);66;2:40.44;50,45;
10;AFŞINTAY KG;5y k  a;KURTÇABEY;BAHTIEVER;60;Y.GÖKÇE AP;KAYA KAYA;S.AKCI;2;%5.14(5);70;2:42.00;19,40;
11;GÜRSELHAN DB SKG SK;6y k  g;TAMERİNOĞLU;MERCANHANIM;57,5 +0.30;H.ŞİMŞEK;DEMET ÇİFTÇİ;A.ATAŞ;7;%3.97(6);59;2:42.53;13,00;
12;SARSALA KG DB SK;5y d  a;ALTINCI HİS;ESMELTEM;58;B.M.MIRIK;DENİZ AÇIK;M.YAYAN;10;%2.87(8);60;2:43.84;24,75;
13;TUNA KALESİ DB SK;5y a  a;FİRİKYA;KANBATUR;50,5 +1.60;M.GÖL AP;İSA EVREN;E.C.BAYDAN;1;%0.68(12);45;2:46.75;117,10;
GANYAN(6) :2,20 TL, İKİLİ(6/12) :4,05 TL, SIRALI İKİLİ(6/12) :9,20 TL

2. Kosu :   16.45;Maiden; 3 Yaşlı İngilizler; 58.00kg; 1300m; Çim;;;;Rekor Derece :1.15.43
İkramiye;;;;;Yetiştirici Primi;;;;
1.)545.000 TL;2.)218.000 TL;3.)109.000 TL;4.)54.500 TL;5.)27.250 TL;1.)130.800 TL;2.)52.320 TL;3.)26.160 TL;4.)13.080 TL;5.)6.540 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;BEŞ ON SEKİZ KG DB SK;3y d  d;EPAULETTE (AUS);İZEM;58;B.M.MIRIK;SACİT ÖZER;G.ER;2;%24.59(1);34;1:19.03;2,35;1 Boy
2;KARPATINO DB SKG SK;3y d  e;TRAPPE SHOT (USA);GRANULARITY (GB);60;M.ÇİÇEK;ERHAN AK;A.ŞEN;5;%15.81(2);32;1:19.13;6,55;Baş
3;QUEEN TUANA KG K;3y d  d;TIZWAY (USA);LADY HAWANA;52 +2.00;Y.GÖKÇE AP;ÇAĞDAŞ ÖZ;M.A.PAKEL;13 - DS;%7.89(5);;1:19.15;7,55;Yarım Boy
4;POP ART KG K;3y a  d;VOODOO SONG (USA);LATIFA TWO;52;B.BÜLBÜL AP;DENİZ HASAN KAYNAR;MUR.AKSOY;1;%4.23(8);26;1:19.22;18,55;3,5 Boy
5;NIGHT RUNNER DB SK;3y d  e;MER DE GLACE (JPN);HARD SUN (USA);58;F.AVCI;UĞUR ALTUNBAŞ;A.ÖZMÜŞ;12 - DS;%1.1(10);8;1:19.73;35,55;
6;POWER OF SISTERS SKG SK;3y d  d;LUXOR;SHE IS MY BABY;56 +0.50;H.ŞİMŞEK;YAVUZ KANDIRAN;H.KURT;3;%2.42(9);17;1:19.76;24,35;
7;FIRST MAY KG SK;3y d  e;DEDEMİR;DEEP WATER GIRL;55;Ö.F.ÖZEN AP;UFUK KURTLAR;A.ATAŞ;10;%14.47(4);26;1:20.67;4,45;
8;VOSCO K DB;3y d  e;AGRESIVO (USA);DEMI LOPEZ;54;S.AKŞIN AP;MEHMET OĞUZHAN OFLİ;H.DURMUŞ;4;%6.97(6);;1:22.26;7,25;
9;DATÇA RÜZGARI DB SK;3y d  d;ULAN BATOR;BERİVAN;56;İ.S.SÖĞÜT;ENDER COŞGUNSU;L.ÖZMERGEN;9;%0.61(11);11;1:23.54;80,70;
10;SINGLE GUN SK;3y a  e;SUPER SAVER (USA);SUNNY VALLEY;58 +0.20;A.İNCİ;ŞÜKRÜ GÜRER;FAH.CEYLAN;7;%5.43(7);27;1:23.55;20,70;
11;OJO TURCO SK;3y d  d;BLUEGRASS CAT (USA);BREAK THE SILENCE;52;İ.GÜN AP;NUSRET ÖZBAĞ;H.DURMUŞ;8;%0.5(12);9;1:26.12;102,75;
12;KRAL AYVALIK KG;3y d  e;VOODOO SONG (USA);İKİBAKİ;61;A.MEH.ALTIN AP;YİĞİT AKIN;Ü.BOZKURT;6;%15.61(3);39;Derecesiz;4,80;
13;EXCEPTIONAL K;3y d  d;BODEMEISTER (USA);GOLDEN PERFECTION (USA);56 +1.00;İ.KALE;ŞAFAK GÜMÜŞ;B.TOPCU;11 - DS;%0.37(13);;Derecesiz;78,30;
GANYAN(7) :2,35 TL, İKİLİ(2/7) :9,55 TL, SIRALI İKİLİ(7/2) :12,50 TL, ÜÇLÜ BAHİS(7/2/13) :198,00 TL, PLASE(2) :2,55 TL, PLASE(7) :2,35 TL, PLASE İKİLİ(2/13) :21,90 TL, PLASE İKİLİ(2/7) :8,60 TL, PLASE İKİLİ(7/13) :16,70 TL, SIRALI 5 Lİ BAHİS(7/2/13/11/4) :18.604,68 TL, 1. ÇİFTE(6/7) :8,50 TL

3. Kosu :   17.15;ŞARTLI 4/Dişi/Y1; 3 ve Yukarı İngilizler; 51.00kg; 60.00 kg; 61.50 kg; 1800m; Çim;;;;Rekor Derece :1.48.24
İkramiye;;;;;Yetiştirici Primi;;;;
1.)490.000 TL;2.)196.000 TL;3.)98.000 TL;4.)49.000 TL;5.)24.500 TL;1.)88.200 TL;2.)35.280 TL;3.)17.640 TL;4.)8.820 TL;5.)4.410 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;MUĞLALI VARGAS DB;4y a k;VOODOO SONG (USA);AMANOS;60;R.KETME;BUSE ŞAMLI;FAH.CEYLAN;4;%4.57(4);78;1:50.81;11,10;4 Boy
2;TYATIR K DB SKG SK SGKR;5y a k;GRAYSTORM;SERPE;57,5;S.AKŞIN;UĞUR GÜNLER;Ş.GÜMÜŞ;6;%4.16(5);75;1:51.50;5,65;2,5 Boy
3;CANTALOUPE DB SK;6y d k;PAPA CLEM (USA);LAİK KIZ;57,5;Y.GÖKÇE;A.CEYDA FEYZULLAH;C.YILDIRIM;3;%67.22(1);95;1:51.83;1,30;Baş
4;OX STRIKE DB SK;4y d k;TIZWAY (USA);OX PLACE (USA);56 +0.80;E.AKPINAR;AYŞEGÜL KURTEL;B.GÜL;5;%1.9(6);60;1:51.86;12,45;1 Boy
5;MAKUL DB SKG SK;5y d k;HEP BERABER;KARAMELEK (USA);58,5;Y.Ş.GÜMÜŞ;VEYSEL KAHRAMAN;Y.TALUK;12 - DS;%15.14(2);87;1:51.98;5,70;
6;DOBRA KIZ KG K DB;5y d k;MYBOYCHARLIE (IRE);DIXIE DARLENE;57,5;M.B.ÖNCEL;MELİH TEMEL;Ş.GÜMÜŞ;8;%0.51(8);37;1:53.61;87,00;
7;CRAZYGOLD DB SK;4y d k;VICTORY GALLOP (CAN);SERPE;56;E.D.ÖKTEN;NURETTİN BOZKURT;G.TOKLU;7;%0.28(9);31;1:54.80;96,80;
8;ALWAYS SPARKLE K DB;4y a k;INVINCIBLE SON (IRE);ITS TIME TO SEA;56;O.KIZILDAŞ;DENİZ KURTEL;B.GÜL;1;%0.64(7);48;1:55.21;25,70;
9;MAKA MAKA KG K DB GKR;4y d k;RUN AWAY AND HIDE (USA);PİRŞAKIR;56;Ç.TAŞCI;H. ALİ AFŞAROĞLU;E.AYHAN;9;%0.19(10);40;2:02.11;80,60;
10;GEL KIZIM K DB SKG;5y a k;RUN AWAY AND HIDE (USA);KIRMIZILI KIZ;57,5;B.BÜLBÜL;ALİ ÇELİK;Ş.ÇELİK;2;%5.13(3);70;Derecesiz;7,90;
11;ENTITY DB SK;4y d k;GOOD CURRY;BÜYÜKANNE;56;A.METİN;TAYFUN AKKAYA;E.Y.İYİDÖNER;10;%0.17(11);35;Derecesiz;138,30;
12;REGAL BELLE KG K DB GKR (Koşmaz);3y d  d;BLUEGRASS CAT (USA);SILK RANSOM (USA);51;K.ÇAYBAKAN;MUSTAFA SAFRAN;S.ÇELİKMAN;11;%0.08(12);37;Koşmaz;;
GANYAN(1) :11,10 TL, İKİLİ(1/4) :63,70 TL, SIRALI İKİLİ(1/4) :131,75 TL, ÜÇLÜ BAHİS(1/4/3) :840,90 TL Çıkan 1 Atla: 127,40 TL, PLASE(1) :20,45 TL, PLASE(4) :41,85 TL, PLASE İKİLİ(1/3) :3,70 TL, PLASE İKİLİ(1/4) :18,10 TL, PLASE İKİLİ(3/4) :4,20 TL, SIRALI 5 Lİ BAHİS(1/4/3/6/2) :6.309,31 TL, 2. ÇİFTE(7/1) :72,15 TL

4. Kosu :   18.00;Handikap 16 /H2; 3 ve Yukarı İngilizler; kg; 2000m; Çim;;;;Rekor Derece :2.00.03
İkramiye;;;;;Yetiştirici Primi;;;;
1.)630.000 TL;2.)252.000 TL;3.)126.000 TL;4.)63.000 TL;5.)31.500 TL;1.)113.400 TL;2.)45.360 TL;3.)22.680 TL;4.)11.340 TL;5.)5.670 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
