Elazığ;(4. Yarış Günü);15/04/2026
1. Kosu :   17.45;Handikap 14 /H3; 3 ve Yukarı İngilizler; kg; 1500m; Kum;;;;Rekor Derece :1.32.60
İkramiye;;;;;Yetiştirici Primi;;;;
1.)280.000 TL;2.)112.000 TL;3.)56.000 TL;4.)28.000 TL;5.)14.000 TL;1.)50.400 TL;2.)20.160 TL;3.)10.080 TL;4.)5.040 TL;5.)2.520 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;IRON LION KG K;4y a  a;LION HEART (USA);DEMİRSU;58,5 +0.10;M.A.AKTÜRK;CEMİL ÇİZİK;Z.AKDEMİR;3;%7.06(6);38;1:42.39;9,30;1,5  Boy
2;GREEN GÖLE K DB;4y d  a;VICTOIRE PISA (JPN);ARİN;60,5;İ.AKYAVUZ;İSMAİL ÖZCAN;B.FAHRİOĞLU;1;%27.11(1);42;1:42.70;2,35;6 Boy
3;JUNIOR CURA KG SK;4y k  a;GRAYSTORM;İDİL;52,5 +2.00;B.SARIDAL AP;HASİBE ÇOLAK CURA;S.BECENE;9;%2.8(9);26;1:43.92;15,35;1,5  Boy
4;SKYDIVE DB SKG SK;5y d k;MYBOYCHARLIE (IRE);BEYAZ GÖLGE;63;M.DOĞAN;ALAETTİN ÖZCAN;F.YALÇINKAYA;5;%5.57(7);45;1:44.27;8,95;4,5 Boy
5;MELİS HANIM SK;4y d k;HAKKAR;KIZGIN BULUT;61;MEH.TAŞKAYA;ERKAN YILDIRIM;M.BULUÇ;8;%12.66(4);43;1:45.09;7,20;
6;SAKLIKAPI KG DB SK;4y a k;AUTHORIZED (IRE);İSMETİNKIZI;61,5;Y.CENGİZ;ALİ ŞAHİN;T.TAHTA;4;%15.85(3);44;1:46.35;4,80;
7;EXOSOME DB SKG SK;4y d k;SIDNEY'S CANDY (USA);DESIRES PEARL;53,5 +0.40;Ç.CANPOLAT AP;KADRİ FELHAN;R.BARMAN;2;%4.59(8);32;1:47.11;13,20;
8;HIRÇIN KARTAL K DB;5y d  a;AGRESIVO (USA);KARTAL KIZI;56 +0.60;N.ALTIN;HIDIR ERZEN;F.YALÇINKAYA;7;%7.17(5);31;1:52.91;11,30;
9;GILDED REFLECTION KG DB SK;4y d k;CATAPULT (USA);DESIDERIA (USA);53,5 +1.00;A.H.BAYAR;ALİ ÇİZİK;T.ÇİZİK;6;%17.19(2);28;2:05.45;3,65;
GANYAN(5) :9,30 TL, İKİLİ(4/5) :13,75 TL, SIRALI İKİLİ(5/4) :45,55 TL

2. Kosu :   18.30;ŞARTLI 3; 3 Yaşlı İngilizler; 58.00kg; 1800m; Kum;;;;Rekor Derece :1.55.12
İkramiye;;;;;Yetiştirici Primi;;;;
1.)280.000 TL;2.)112.000 TL;3.)56.000 TL;4.)28.000 TL;5.)14.000 TL;1.)50.400 TL;2.)20.160 TL;3.)10.080 TL;4.)5.040 TL;5.)2.520 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;DANCE OF WIND DB SK;3y d  e;TIZWAY (USA);EMPOWERMENT (USA);58;İ.AKYAVUZ;OSMAN TANER;A.YARDIMCI;5 - DS;%44.87(1);53;2:05.40;1,40;11 Boy
2;YELELİ KIZ KG DB SK;3y d  d;TOUGH GUY;LORENA;55 +2.00;MEH.TAŞKAYA;MERVE ÖZDEMİR;T.AYDIN;2;%31.32(2);56;2:07.50;2,35;8,5 Boy
3;ÇEVİK HANI KG DB SK;3y d  e;HEMSWORTH (USA);TIA JUANA (IRE);60;M.DOĞAN;REFİK ÇEVİK;E.AÇMAZ;4;%8.69(3);31;2:09.19;2,70;20 Boy
4;JAZZMASTER DB SK;3y a  g;LION HEART (USA);LHAZAREEN;56 +2.00;M.A.AKTÜRK;REFİK ÇEVİK;E.AÇMAZ;1;%12.59(3);48;2:13.10;2,70;
5;LITTLE CHIRAL KG DB SK (Koşmaz);3y d  e;FINESSE;OGEY;58;Y.CENGİZ;HALİL YILMAZER;M.E.SARIDAL;3;%2.53(4);34;Koşmaz;;
[(1)ÇEVİK HANI,(4)JAZZMASTER,] eküridir.GANYAN(2) :1,40 TL, SIRALI İKİLİ(2/5) :3,65 TL, 1. ÇİFTE(5/2) :26,90 TL

3. Kosu :   19.00;Handikap 15/DHÖW /H3; 4 ve Yukarı Araplar; kg; 1200m; Kum;;;;Rekor Derece :1.21.14
İkramiye;;;;;Yetiştirici Primi;;;;
1.)350.000 TL;2.)140.000 TL;3.)70.000 TL;4.)35.000 TL;5.)17.500 TL;1.)63.000 TL;2.)25.200 TL;3.)12.600 TL;4.)6.300 TL;5.)3.150 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;LAVİSTAKAYA SK;5y k k;BERKCAN;DOKTORKAYA;55 +2.00;M.DOĞAN;AHMET BABACAN;F.YALÇINKAYA;6;%3.05(9)  %3.1(9);39;1:30.90;14,25;2,5 Boy
2;RÜZGARTEPESİ KG;6y k k;CANKARDEŞLER;HONOLULU;59,5;M.A.AKTÜRK;MUHAMMET HOCAOĞULLARI;Z.AKDEMİR;4;%15.99(2)  %14.92(2);48;1:31.41;5,40;1,5  Boy
3;BAY UTKU KG DB SK;5y k  a;TURBO;UZUN TUĞBA;52,5 +2.00;B.SARIDAL AP;KADRİYE VATANSEVER;A.YARDIMCI;3;%4.88(8)  %5.43(8);34;1:31.77;8,95;Boyun
4;BÜYÜK DAĞ KG K DB;5y a  a;KAYAYÜREKLİ;SERAPGİBİ;63;A.H.BAYAR;MÜSLÜM ŞEKER;RES.KAYA;9;%6.82(5)  %5.82(6);55;1:31.86;9,05;6 Boy
5;GÜVENABİ KG SK;6y k  a;SULTAN DE FAUST (FR);YARDIMCIKIZI;61,5;İ.AKYAVUZ;MEHMET BECENE;S.BECENE;5;%36.27(1)  %39.43(1);52;1:33.25;2,05;
6;YOVANKA DB SKG SK;5y k k;DERBİŞAH;GÜLÜCÜK;51 +1.20;H.YÖNDEN AP;YURDAL KARGIN;M.BULUÇ;1;%1.01(11)  %0.84(11);31;1:34.54;50,95;
7;HAMDİ AĞA;5y a  a;ORÇUN;BENLİDİLBER;62,5;İ.KATAR;MEHMET S. MELİK;S.KARAKEÇİLİ;8;%6.92(4)  %6.76(4);54;1:34.93;8,30;
8;FERHAT KARDEŞ KG SK;5y k  a;HABERKAN;GOBAKHALA;61;H.ALTUNDAĞ;HAMZA CANLIKA;B.DEMİRKAPU;11 - DS;%11.72(3)  %10.78(3);51;1:36.80;7,35;
9;SEDEN KIZ KG K DB;6y a k;SAADIN GÜCÜ;GÖZÜN AYDIN;54;Ç.CANPOLAT AP;MUSTAFA TAŞKAYA;R.BARMAN;10;%1.48(10)  %1.43(10);41;1:40.03;22,75;
10;BALLIYARIM K;6y a k;KAIZBERT (RU);FAYHATTI;59,5;M.P.DEMİR AP;FERHAT BİNİCİ;B.FAHRİOĞLU;2;%5.91(7)  %5.61(7);52;2:12.56;10,65;
11;ÇABUK KG K DB;8y a  a;KAIZBERT (RU);KAFKAS ÇİÇEĞİ;59;N.ALTIN;ÖZKAN BAYRAKTAR;F.BAKIR;7;%5.96(6)  %5.87(5);47;Derecesiz;9,20;
GANYAN(9) :14,25 TL, İKİLİ(6/9) :44,25 TL, SIRALI İKİLİ(9/6) :160,55 TL, 2. ÇİFTE(2/9) :38,10 TL

4. Kosu :   19.30;Maiden; 2 Yaşlı İngilizler; 57.00kg; 1000m; Kum;;;;Rekor Derece :1.02.35
İkramiye;;;;;Yetiştirici Primi;;;;
1.)395.000 TL;2.)158.000 TL;3.)79.000 TL;4.)39.500 TL;5.)19.750 TL;1.)118.500 TL;2.)47.400 TL;3.)23.700 TL;4.)11.850 TL;5.)5.925 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;KING OF LINGO SK;2y d  e;TIZWAY (USA);KERVANSARAYIN KIZI;57 +0.90;H.ALTUNDAĞ;MEHMET Ş. ÇİZİK;M.A.SUBAY;7;%9.39(6)  %9.8(6);;1:08.85;6,85;7 Boy
2;KING SERGEN KG K;2y d  e;AKGÜN;ÖZEL;57 +2.00;M.P.DEMİR AP;HÜSEYİN SARIDAL;E.AÇMAZ;3;%3.46(9)  %3.76(9);;1:10.20;16,20;Yarım Boy
3;PRENS APTİ KG SK;2y a  e;TRAPPE SHOT (USA);SUNRISE SMILE;57 +1.30;İ.KATAR;ABDULHAMİT YARDIMCI;A.YARDIMCI;8;%4.49(8)  %4.85(8);;1:10.31;14,65;Burun
4;BRAVO GÜR KG K;2y d  e;RUNNER BULL;VIOLIN;57 +1.50;M.A.AKTÜRK;REFİK ÇEVİK;E.AÇMAZ;5;%15.07(3)  %16.03(3);;1:10.32;3,45;5,5 Boy
5;AŞAN STAR SK;2y a  d;FLY BY ME;SPRING BREEZE;55 +0.90;A.AKDEMİR;BÜLENT YARDIMCI;M.KARALI;4;%16.99(2)  %16.33(2);;1:11.31;4,95;
6;KING ALPASLAN KG DB SK;2y d  e;DISTANT SHINING;HİBİSCUS;57;A.H.BAYAR;YUNUS ERENER;M.A.SUBAY;1;%19.76(1)  %18.62(1);;1:11.88;3,20;
7;LEYDİ STARK KG K ÖG;2y d  d;SMART ROBIN (JPN);LEZZAZ;55 +2.00;M.DOĞAN;OSMAN TANMAN;M.BULUÇ;9;%5.97(7)  %6.31(7);;1:13.07;13,10;
8;ALPERİN KIZI KG K;2y a  d;MY FREEDOM;EMIKA;55 +2.00;MEH.TAŞKAYA;ALİ BAKIR;F.BAKIR;6;%14.66(4)  %13.92(4);;1:14.49;5,15;
9;GHOSHA KG K;2y d  d;PACO BOY (IRE);GINGERALE;55 +2.00;Y.CENGİZ;SİNAN CANLIKA;M.BULUÇ;2;%10.21(5)  %10.38(5);;1:17.09;7,10;
GANYAN(3) :6,85 TL, 1. 3'LÜ GANYAN(2,3/9/3) :531,50 TL, İKİLİ(3/4) :96,30 TL, SIRALI İKİLİ(3/4) :103,90 TL, ÜÇLÜ BAHİS(3/4/5) :2.149,70 TL, PLASE(3) :3,25 TL, PLASE(4) :11,20 TL, 3. ÇİFTE(9/3) :185,50 TL

5. Kosu :  ELAZIĞ BELEDİYE BAŞKANLIĞI KOŞUSU 20.00;G 3/ULS; 3 ve Yukarı İngilizler; 53.00kg; 60.00 kg; 1600m; Kum;;;;Rekor Derece :1.41.32
İkramiye;;;;;Yetiştirici Primi;;;;
