İstanbul;(7. Yarış Günü);29/04/2026
1. Kosu :   14.00;ŞARTLI 3; 3 Yaşlı İngilizler; 58.00kg; 1200m; Sentetik;;;;Rekor Derece :1.09.93
İkramiye;;;;;Yetiştirici Primi;;;;
1.)470.000 TL;2.)188.000 TL;3.)94.000 TL;4.)47.000 TL;5.)23.500 TL;1.)84.600 TL;2.)33.840 TL;3.)16.920 TL;4.)8.460 TL;5.)4.230 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;ÇOKOMEL KIZ K DB SKG;3y d  d;BATTLEGROUND (USA);EDINBURGH;59;A.KURŞUN;SONER SÖKMEN;C.TURAN;5;%11.09(3);51;1:11.94;5,70;2,5 Boy
2;SKY TURK KG DB SK;3y a  e;FLAMEAWAY (CAN);MAKE THE SUN SHINE (USA);55;A.YILDIZ;YÜKSEL GÖKTÜRK;H.BOYRAZ;7;%6.95(5);;1:12.34;8,15;Boyun
3;GILMOUR DB SK;3y d  e;TORONADO (IRE);WHIPPA D'OR (FR);58;A.SÖZEN;EMRAH AGUN;İ.AKMEŞE;6;%53.62(1);46;1:12.40;1,35;4 Boy
4;PRENSES YAZ SK;3y d  d;GOOD CURRY;TRIGGER FINGER;53 +2.00;V.ABİŞ;AYDIN ÜSTÜNDAĞ;E.USLU;4;%18.66(2);71;1:13.16;3,30;1 Boy
5;RAKEL KG K DB;3y d  d;KANEKO;INTEGRAL;56;E.AKTUĞ;ESMER CULFA;Z.TEMUÇİN;2;%2.08(6);39;1:13.30;25,30;
6;EMBER SON DB;3y d  e;LUXOR;LIVE EMBER;58;E.BOZDAĞ;DENİZ ÇAKAR;C.TURAN;1;%7.04(4);43;1:13.78;11,85;
7;MAJESTIC CHAMPION KG K DB;3y d  e;SHARP KNIFE (USA);SUNLIGHT MELODY;51 +2.00;B.ÇETİN AP;MEHMET NAİM;GÜV.GÖKÇE;8 - DS;%0.33(7);;1:15.46;54,40;
8;BOOMERAX KG K;3y d  e;KANEKO;CARRY ON ELLIE (IRE);54 +1.50;K.YILMAZ AP;SARE SEZGİN;E.ÇUKURKAŞ;3;%0.23(8);;1:18.57;65,95;
GANYAN(1) :5,70 TL, İKİLİ(1/6) :24,30 TL, SIRALI İKİLİ(1/6) :45,80 TL

2. Kosu :   14.30;Maiden/DHÖW; 3 Yaşlı Araplar; 57.00kg; 1100m; Sentetik;;;;Rekor Derece :1.11.51
İkramiye;;;;;Yetiştirici Primi;;;;
1.)600.000 TL;2.)240.000 TL;3.)120.000 TL;4.)60.000 TL;5.)30.000 TL;1.)180.000 TL;2.)72.000 TL;3.)36.000 TL;4.)18.000 TL;5.)9.000 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;ZEYDANTAY KG SK;3y a  e;ORHUNKAAN;YUSUFUN GÜLÜ;57 +0.40;H.ÇİZİK;MURAT ALTIN;KE.YILMAZ;4;%11.54(4);;1:13.88;5,10;4,5 Boy
2;KESTEL YİĞİDİ SK;3y k  e;MADRABAZ;KESTEL;57;A.YILDIZ;MEHMET ALİ KATI;M.DOLAK;3;%8.2(5);;1:14.55;6,90;1 Boy
3;KAUÇUKÇU K SKG;3y a  e;BUZDAĞI;İLKCEMRE;53;M.A.ALTUNDAĞ AP;MÜSLÜM ŞEKER;RAM. KAYA;8;%1.7(6);;1:14.71;14,20;Yarım Boy
4;ATICI KAYA KG DB SK;3y a  e;KAYAYÜREKLİ;DESTENAZ;57;M.KAYA;AHMET KAYA;M.DEMİRTAŞ;1;%43.75(1);;1:14.78;1,85;4 Boy
5;PARLAMA ZAMANI KG K;3y k  e;FATİH AĞA;ZEITUN;57;V.ABİŞ;SEMRA EMİR;V.KARAKUŞ;2;%19.2(2);;1:15.38;3,05;
6;SAROZ BEYİ K;3y k  e;GÜNTAY;AHSENTİ;53;R.YILDIZ AP;MÜSLÜM ŞEKER;RAM. KAYA;5;%0.68(6);;1:15.41;14,20;
7;DAĞYIKAN KG SK;3y d  e;BABA MEVLÜT;OYUNCU HATUN;57;M.S.ÇELİK;SEMİH KATI;M.DOLAK;6;%14.35(3);;1:15.52;4,80;
8;FATİHİNASLANI K (Koşmaz);3y a  e;BALALAYKA;ELENAZ;57;MEH.ARSLAN AP;MÜSLÜM BAKAY;A.TEKDEMİR;7;%0.58(7);;Koşmaz;;
[(4)KAUÇUKÇU,(7)SAROZ BEYİ,] eküridir.GANYAN(8) :5,10 TL, İKİLİ(5/8) :18,65 TL, SIRALI İKİLİ(8/5) :35,85 TL, ÜÇLÜ BAHİS(8/5/4) :965,00 TL Çıkan 1 Atla: 37,30 TL, PLASE(5) :1,45 TL, PLASE(8) :2,15 TL, 1. ÇİFTE(1/8) :58,95 TL

3. Kosu :   15.00;ŞARTLI 4; 3 ve Yukarı İngilizler; 54.00kg; 60.00 kg; 60.50 kg; 1000m; Çim;;;;Rekor Derece :0.56.88
İkramiye;;;;;Yetiştirici Primi;;;;
1.)595.000 TL;2.)238.000 TL;3.)119.000 TL;4.)59.500 TL;5.)29.750 TL;1.)107.100 TL;2.)42.840 TL;3.)21.420 TL;4.)10.710 TL;5.)5.355 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;DEHLİN DB SKG SK;4y d  a;MYBOYCHARLIE (IRE);CHICA LOCA;56;A.SÖZEN;MURAT ÇAĞIMNI;A.ŞIVGIN;5;%7.31(4);78;0:56.88;11,80;3,5 Boy
2;SUBUTAI DB SK;7y d  g;COUNTERATTACK* (AUS);AAMAAL (GER);56,5 +2.00;S.KAYA;DUYGU FATURA;E.USLU;3;%53.86(1);101;0:57.41;1,25;Yarım Boy
3;TURKISH PUNCH K;5y d  a;DAREDEVIL (USA);TAQWEEM (USA);58,5;V.ABİŞ;AYDIN ÜSTÜNDAĞ;E.USLU;2;%15.84(3);87;0:57.50;4,85;1,5  Boy
4;CAZATOR DE OSOS SK;4y d  a;LUXOR;ROCKET GIRL;61;M.KEÇECİ AP;GÜLİZAR YANIK;M.DOLAK;1;%3.75(5);89;0:57.67;13,35;Boyun
5;İSPANOZ KG K;4y k  a;MORANDI (FR);JUST ANOTHER DAY (FR);56 +1.60;N.ŞEN;H.TARIK DİKENCİK;M.ÖZGÜL;4;%17.63(2);91;0:57.71;4,00;
6;FILIUS VENTUS DB SK;5y d  a;TOROK (IRE);SERENARA;56,5 +0.10;A.YILDIZ;MEHMET MURAT UĞURLU;GÖK.GÖKÇE;7;%0.5(7);45;0:58.57;25,25;
7;PERFECT FLIGHT SK;5y d  a;TOROK (IRE);MİRANUR;56,5;E.AKTUĞ;ARZU KESKİN;Y.DEMİRKIRAN;8;%0.96(6);74;0:59.07;29,05;
8;SANS PAREİL SK;5y d  a;HAKEEM (USA);FLORANCE (GER);53,5 +0.30;B.ÇIĞLA AP;NESLİŞAH U. EVLİYAZADE EKMEKÇİ;At Sahibi;6;%0.14(8);10;1:00.89;65,35;
GANYAN(4) :11,80 TL, İKİLİ(3/4) :7,80 TL, SIRALI İKİLİ(4/3) :31,80 TL, ÜÇLÜ BAHİS(4/3/2) :146,00 TL, PLASE(3) :1,05 TL, PLASE(4) :1,35 TL, 2. ÇİFTE(8/4) :59,30 TL

4. Kosu :   15.30;SATIŞ 3; 3 Yaşlı İngilizler; 58.00kg; 1300m; Sentetik;;;;Rekor Derece :1.15.99
İkramiye;;;;;Yetiştirici Primi;;;;
1.)630.000 TL;2.)252.000 TL;3.)126.000 TL;4.)63.000 TL;5.)31.500 TL;1.)151.200 TL;2.)60.480 TL;3.)30.240 TL;4.)15.120 TL;5.)7.560 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;KUBAT KASIRGASI SK;3y a  e;CAPTAIN RIO (GB);SPARTAN BEAUTY;57;A.KURŞUN;EYYÜP AYDINLIKTA;S.GÜNAYDIN;1;%15.98(3)  %15.09(3);69;1:17.98;5,90;6 Boy
2;ERULİNA DB SKG SK;3y d  d;TIZWAY (USA);ARDAHAN GÜZELİ;56;A.KAÇMAZ;ERTUĞRUL İLHAN;MAH.BAYKARA;8;%7.62(6)  %6.55(6);48;1:18.94;10,55;1,5  Boy
3;MENKAR SK;3y d  e;KING DAVID (USA);MISS JASMIN;53 +2.00;G.ÖZÇELİK;FEDAİ KAHRAMAN;K.GÜNEŞ;9;%13.11(5)  %13.08(4);52;1:19.13;6,25;Baş
4;CHARLIE THE FIRST KG DB SK;3y d  d;KLIMT (USA);WENONA;54;O.ATMACA;MURAT KADAİFÇİOĞLU;MİR.İPEK;6;%2.01(8)  %1.68(8);40;1:19.14;21,80;2 Boy
5;SİGUEME SK;3y d  e;MENDIP (USA);AMAZON QUEEN;58;Ö.F.ÖZEN AP;GÜLİZAR YANIK;M.DOLAK;5;%3.53(2)  %3.06(2);51;1:19.46;3,45;
6;KRAL OSIMHEN K;3y d  e;BODEMEISTER (USA);STEEL CAT;58;E.AKTUĞ;TAHİR ÇELİK;A.TEKDEMİR;11;%26.5(1)  %32.75(1);54;1:19.63;2,00;
