Adana;(41. Yarış Günü);05/04/2026
1. Kosu :   14.00;Maiden/DHÖW; 4 Yaşlı Araplar; 58.00kg; 1400m; Kum;;;;Rekor Derece :1.34.68
İkramiye;;;;;Yetiştirici Primi;;;;
1.)545.000 TL;2.)218.000 TL;3.)109.000 TL;4.)54.500 TL;5.)27.250 TL;1.)130.800 TL;2.)52.320 TL;3.)26.160 TL;4.)13.080 TL;5.)6.540 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;PELŞİN KG K DB GKR;4y k k;FATİH AĞA;MEDYA;59;SAL.ÇELİK;SIRAÇ DEMİR;F.DEMİR;6;%13.87(3);30;1:41.94;5,40;2 Boy
2;TIĞLIBEY KG K;4y k  a;YAKUPBEY;ATEŞCEYLAN;58 +0.10;V.ABİŞ;ABDULLAH TEKİNALP;R.ATLI;5;%33.33(2);17;1:42.38;1,75;1 Boy
3;EN BÜYÜK KG SK;4y k  a;YILMABAŞAR;DERİNCE;54 +0.10;M.T.COŞKUN AP;TÜMER ULULAR;Y.ÇAĞLAR;7;%12.46(4);30;1:42.55;4,65;4,5 Boy
4;GÜN IŞITAN DB SKG SK;4y a  g;DİLİRAN;TOŞUR HANIM;58;M.S.ÇELİK;BARIŞ YAKUT;T.BARDAKCI;8 - DS;%34.17(1);32;1:43.48;2,50;1,5  Boy
5;YARSELİ DB SKG SK;4y k k;SONALP;BEKRİYE;52;M.UYAR AP;SÜLEYMAN KAR;Y.TUNCAY;3;%4.22(5);24;1:43.71;15,80;
6;HIZLI MAHİR KG K;4y a  a;MERKÜROĞLU;YAŞARNUR;58;F.S.M.SANSAR;MEHMET KANDEMİR;Y.TUNCAY;4;%1.32(6);;1:54.05;30,20;
7;ALTUNÇURA KG DB SK;4y a  a;AYABAKAN;BEYAZ KELEBEK;55 +1.30;M.ÇELİK AP;AHMET BABACAN;M.TEK;2;%0.51(7);7;1:56.73;32,65;
8;BİRSUYUM KG (Koşmaz);4y a k;KAYAYÜREKLİ;BİRSU;56;İ.KATI;CAVİDAN KAYA ÖZASLAN;A.DİNÇ;1;%0.12(8);33;Koşmaz;;
GANYAN(6) :5,40 TL, İKİLİ(5/6) :8,05 TL, SIRALI İKİLİ(6/5) :21,80 TL

2. Kosu :   14.30;Handikap 16 /H1; 4 ve Yukarı İngilizler; kg; 1900m; Kum;;;;Rekor Derece :2.00.00
İkramiye;;;;;Yetiştirici Primi;;;;
1.)630.000 TL;2.)252.000 TL;3.)126.000 TL;4.)63.000 TL;5.)31.500 TL;1.)113.400 TL;2.)45.360 TL;3.)22.680 TL;4.)11.340 TL;5.)5.670 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;SUNDANCE K DB;4y d  a;HAKEEM (USA);STAR GOLD;55 +1.80;A.ÇELİK;AHMET CEMİL BURHANLIOĞLU;A.ÇIKMAN;5;%28.94(2);62;2:04.61;2,75;2 Boy
2;HAWORTH KG K;4y d  a;GLOBAL CAMPAIGN (USA);ABOVE THE MIEN (USA);56,5;V.ABİŞ;AHMET BARMAN;Z.YILMAZ;8 - DS;%31.38(1);65;2:04.93;1,90;Baş
3;MOZART KG DB SK;5y d  a;BODEMEISTER (USA);ZAMİRA;57;MÜS.ÇELİK;AHMET ÇİÇEK;M.ÇİÇEK;1;%16.77(3);63;2:04.96;3,40;4,5 Boy
4;ZERO TO HERO DB SK;5y d  a;FAIRSON;TURN TO DISTANT;53,5;M.BAYIR;B.BALKAR BALKAROĞLU;Y.MİSDİK;2;%10.29(4);56;2:05.72;7,00;Yarım Boy
5;ATOMIC CAT KG K DB;4y a  a;BLUEGRASS CAT (USA);ISLAND QUEST (USA);56,5 +0.10;M.ÇELİK AP;MEHMET EMEN;Y.UÇAR;3;%4.22(6);71;2:05.81;17,00;
6;EL INTOCABLE KG SK;5y d  a;PAPA CLEM (USA);HALİME ABLA;50 +1.20;M.UYAR AP;HARİKA GİDER;V.TEKİN;4;%1.23(7);33;2:06.08;61,50;
7;GREEN EYED MEMO KG DB SK;4y d  a;NATIVE KHAN (FR);KESME ŞEKER;50 +2.00;M.T.COŞKUN AP;M.FERİT EKEN;A.GÜVEN;6;%0.84(8);34;2:06.18;56,40;
8;ŞERDİL K;5y d  a;ABJAR ACADEMY;FAIRY TALE;63;M.AKYAVUZ;F.SEDAT DAĞYUDAN;M.KORKMAZ;7 - DS;%6.33(5);75;2:07.25;13,40;
GANYAN(5) :2,75 TL, İKİLİ(3/5) :2,55 TL, SIRALI İKİLİ(5/3) :5,75 TL, ÜÇLÜ BAHİS(5/3/4) :26,80 TL, PLASE(3) :1,05 TL, PLASE(5) :1,05 TL, 1. ÇİFTE(6/5) :19,55 TL

3. Kosu :   15.00;ŞARTLI 3/Dişi; 3 Yaşlı İngilizler; 58.00kg; 2000m; Kum;;;;Rekor Derece :2.06.32
İkramiye;;;;;Yetiştirici Primi;;;;
1.)400.000 TL;2.)160.000 TL;3.)80.000 TL;4.)40.000 TL;5.)20.000 TL;1.)72.000 TL;2.)28.800 TL;3.)14.400 TL;4.)7.200 TL;5.)3.600 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;HEARTS PATH DB SKG SK;3y d  d;KLIMT (USA);DAYDAY DİDAY DAY;56;E.ATLAMAZ AP;BERKE KURTULUŞ;İ.AKKILIÇ;1;%77.3(1);62;2:12.83;1,10;2,5 Boy
2;LA COPA K;3y d  d;KLIMT (USA);ŞANZELİZEM;58;N.DEMİR;AVNİ GÖKKAN;HÜS.TEKİNALP;4 - DS;%7.44(3);52;2:13.22;5,75;Yarım Boy
3;SOUTHERN SECRET DB SKG SK;3y d  d;KANEKO;İPEK SU;58;M.A.SOLMAZ;ESİN SULTAN KEPME;S.SÜSLÜ;3;%5.41(4);37;2:13.30;6,15;3 Boy
4;DREAM ASIYA DB SKG SK;3y d  d;KANEKO;LAVIN;55;E.ÇİZİK;TUĞBA İPEK;A.GÜVEN;2;%8.51(2);37;2:13.81;5,20;7 Boy
5;MY BLACK QUEEN KG K;3y d  d;HAKEEM (USA);FAST WHISPER;54 +0.20;M.BAL AP;HÜSEYİN BAŞBOĞA;Y.ÇAĞLAR;5 - DS;%1.33(5);37;2:15.28;20,90;
GANYAN(1) :1,10 TL, SIRALI İKİLİ(1/2) :3,05 TL, 2. ÇİFTE(5/1) :3,15 TL

4. Kosu :   15.30;ŞARTLI 5; 3 Yaşlı İngilizler; 58.00kg; 2100m; Çim;;;;Rekor Derece :2.07.81
İkramiye;;;;;Yetiştirici Primi;;;;
