Elazığ;(7. Yarış Günü);28/04/2026
1. Kosu :   17.45;Maiden/Dişi; 3 Yaşlı İngilizler; 58.00kg; 1200m; Kum;;;;Rekor Derece :1.12.50
İkramiye;;;;;Yetiştirici Primi;;;;
1.)395.000 TL;2.)158.000 TL;3.)79.000 TL;4.)39.500 TL;5.)19.750 TL;1.)94.800 TL;2.)37.920 TL;3.)18.960 TL;4.)9.480 TL;5.)4.740 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;BLACK RIVER SKG SK;3y d  d;MENDIP (USA);DES RANGILA;60;M.A.AKTÜRK;REFİK ÇEVİK;E.AÇMAZ;8;%19.73(2);30;1:20.79;3,25;2,5 Boy
2;CRAZY RIVER DB SKG SK;3y d  d;KANEKO;DOLCE VITA;60;N.ALTIN;BİLAL EMİROĞLU;B.FAHRİOĞLU;4;%34.36(1);27;1:21.34;2,05;Boyun
3;MISS CURA KG DB SK;3y d  d;LION HEART (USA);SAYANORA;58;H.ALTUNDAĞ;ALİ ŞAHİN;At Sahibi;9;%3.35(8);21;1:21.40;10,95;4,5 Boy
4;PRENSES MELTEM KG DB SK;3y d  d;PAPA CLEM (USA);PERFECT VICTORY;60;Y.CENGİZ;ÖMER FELHAN;A.AKBABA;3;%17.64(3);23;1:22.28;5,50;1 Boy
5;MIGHTYAQUSTIC DB SKG SK;3y d  d;MENDIP (USA);ESTHER;58;İ.KATAR;HALİL AKGÖBEK;RES.KAYA;5;%3.47(7);13;1:22.45;10,25;
6;ANGRY EAGLE SKG SK;3y a  d;TRAPPE SHOT (USA);PIETRA QUEX;58 +0.20;MEH.TAŞKAYA;HÜSEYİN YILDIZ;R.BARMAN;6;%7.58(5);20;1:23.70;10,45;
7;HEYLİ VEYLİ KG;3y d  d;SUPER ALP (USA);BABBAR PATERA;62;A.H.BAYAR;HÜSEYİN BECENE;MEHM.KAYA;1;%9.38(4);26;1:24.17;7,50;
8;LOTUS GIRL KG DB SK;3y d  d;KING DAVID (USA);CONRADINA;56 +1.80;A.ÇANKAYA AP;HAMZA CANLIKA;İ.ATMACA;7;%3.78(6);17;1:24.67;14,00;
9;RISES THE MOON KG K DB;3y d  d;HAKEEM (USA);MOGLI;58;H.ALTUNKILIÇ;AHMET TADIK;F.YALÇINKAYA;2;%0.7(9);8;1:27.54;34,00;
GANYAN(2) :3,25 TL, İKİLİ(2/3) :5,45 TL, SIRALI İKİLİ(2/3) :11,30 TL

2. Kosu :   18.30;Handikap 14/DHÖW/Dişi /H3; 4 ve Yukarı Araplar; kg; 2000m; Kum;;;;Rekor Derece :2.23.20
İkramiye;;;;;Yetiştirici Primi;;;;
1.)280.000 TL;2.)112.000 TL;3.)56.000 TL;4.)28.000 TL;5.)14.000 TL;1.)50.400 TL;2.)20.160 TL;3.)10.080 TL;4.)5.040 TL;5.)2.520 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;GELİNİM SİNEM KG DB SK;4y a k;FİRİKYA;CAN ZEHRA;61,5;İ.AKYAVUZ;MEHMET EMİN DEMİRKAPU;B.DEMİRKAPU;2;%55.08(1);39;2:35.58;1,15;16 Boy
2;YAĞTU KG DB SK;4y k k;FATİH AĞA;PEKŞEKER;60;H.ALTUNKILIÇ;OSMAN GÜLLÜ;E.AÇMAZ;5;%16.35(2);36;2:38.78;4,25;10 Boy
3;İREM HATUN DB SK;4y a k;ORÇUN;GÜHERKIZ;61;A.ÇANKAYA AP;MEHMET EMİN DEMİRKAPU;B.DEMİRKAPU;1;%7.43(1);42;2:40.76;1,15;Boyun
4;ZAFİRE SULTAN DB SKG SK;5y k k;KIRBULUT;ZAFİREGÜLÜ;58,5;N.ALTIN;ALİ BAKIR;F.BAKIR;7;%5.06(4);27;2:40.83;11,10;14 Boy
5;EBİŞİM DB SKG SK;4y k k;SON MARTI;ŞERMİN KIZI;53 +1.90;B.SARIDAL AP;MEHMET TAHİR AKIL;T.ÇİZİK;8;%1.41(7);26;2:43.54;23,85;
6;HİPOTENÜS DB SKG SK;4y k k;FATİH AĞA;EREN ÇİÇEĞİ;59;A.AKDEMİR;MUHAMMED ALP EREN;E.AÇMAZ;6;%11.33(3);34;2:51.56;6,10;
7;MAVİ DÜŞ KG DB;4y a k;ODİNHAN;NURDİDE;59;A.H.BAYAR;FERAT ÖZKAN;İ.ATMACA;4;%1.48(6);34;3:25.59;31,15;
