İzmir;(3. Yarış Günü);23/04/2026
1. Kosu :   17.45;SATIŞ 1; 3 ve Yukarı İngilizler; 51.00kg; 60.00 kg; 61.50 kg; 1600m; Kum;;;;Rekor Derece :1.37.63
İkramiye;;;;;Yetiştirici Primi;;;;
1.)385.000 TL;2.)154.000 TL;3.)77.000 TL;4.)38.500 TL;5.)19.250 TL;1.)69.300 TL;2.)27.720 TL;3.)13.860 TL;4.)6.930 TL;5.)3.465 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;THE ADMIRAL SK;4y k  a;NATIVE KHAN (FR);PLEINE FORME (USA);56;B.M.MIRIK;AYŞEGÜL HAYMANA;SEY.GÖKÇE;1;%11.03(4);83;1:40.93;5,95;8 Boy
2;LE ROI DANSE DB SK;5y d  a;PAPA CLEM (USA);TO BE BY YOUR SIDE;57,5;İ.SOYAD;SADETTİN GÜZEL;E.C.BAYDAN;5;%4.4(8);57;1:42.26;12,10;Burun
3;ESATIM KG DB SK;4y d  a;GÜNGÖR BABA;SARI ARI;54;C.PASO;MEHMET HANİFİ POLAT;R.DEMİRDOĞAN;6;%7.99(6);63;1:42.27;12,05;1,5  Boy
4;BOARDING PASS KG SK;5y d  a;MENDIP (USA);CARAMEL;56,5;H.ŞİMŞEK;METİN ÇETİNKAYA;L.BERKOL;3;%18.9(2);66;1:42.53;3,75;1,5  Boy
5;BARİ DB SK;6y d  a;TRIPLE BONUS;DINAH (FR);54,5;İ.S.SÖĞÜT;MEHMET ALİ ÇEVİK;M.KARACA;7;%1.11(11);65;1:42.78;51,90;
6;BATMAN ÇOCUĞU DB SKG SK;5y d  a;LION HEART (USA);MUZAFFER SULTAN;61,5;A.KÜRÜNDÜK;ŞEHABETTİN DOYAN;M.BULUT;4;%26.51(1);94;1:42.88;2,10;
7;LAST SWORD KG K DB;4y d  a;TOUCH THE WOLF;SPECTACULAR SWORD;60;M.ÇİÇEK;CENGİZHAN DOĞAN;Z.TURĞUL;8;%6.14(7);73;1:43.45;16,90;
8;LAST STROM DB SK;4y a  a;GRAYSTORM;RED QUEEN;56;Ö.F.ÖZEN AP;ÖZGÜR ERİNÖZ;A.ÖKSÜZLER;2;%0.66(12);34;1:43.63;63,65;
9;GROUND SPEED K DB;4y a  a;LION HEART (USA);GROUND SHAKER;60;GÖKH.GÖKÇE;TUNCER GÖKÇE;SEY.GÖKÇE;11 - DS;%11.6(3);72;1:44.84;6,85;
10;KING ÇAĞDAŞ KG SK;5y d  a;EUPRHATES (USA);GHOST MOUNTAIN;58,5;E.AKTUĞ;ÇAĞDAŞ ÖZ;M.A.PAKEL;12 - DS;%8.67(5);65;1:45.11;9,75;
11;RÜTBESİZ KG DB SK;7y a  a;PACO BOY (IRE);KARDELINA;56,5;A.METİN AP;ONUR TÜRKER;H.DURMUŞ;9;%1.79(9);40;1:45.24;28,30;
12;GULAZER SK;4y d k;GRAYSTORM;HAYAT;56;S.AKŞIN AP;FERİDUN KILIÇASLAN;B.ÖZGÜR;10;%1.2(10);46;1:47.12;27,05;
GANYAN(9) :5,95 TL, İKİLİ(5/9) :75,70 TL, SIRALI İKİLİ(9/5) :103,45 TL

2. Kosu :  BİRENDA KOŞUSU 18.30;Maiden/DHÖW/Dişi; 3 Yaşlı Araplar; 57.00kg; 1000m; Kum;;;;Rekor Derece :1.07.70
İkramiye;;;;;Yetiştirici Primi;;;;
1.)545.000 TL;2.)218.000 TL;3.)109.000 TL;4.)54.500 TL;5.)27.250 TL;1.)163.500 TL;2.)65.400 TL;3.)32.700 TL;4.)16.350 TL;5.)8.175 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;AMANKIZIM KG SK;3y a  d;KAFKASLIEFSANESİ;AMANYÜREK;54;Ö.F.ÖZEN AP;EMİNE KAYA;M.Y.YILDIRIM;8 - DS;%3.37(6);;1:10.90;11,00;2 Boy
2;ALTIN ESMER K;3y a  d;ALTINCI HİS;ESMERGÜL;54 +1.30;A.MEH.ALTIN AP;MEHMET BİRDEN;S.C.GÖZÜNGÜ;1;%10.99(2);;1:11.21;4,20;4,5 Boy
3;ULU CİHAN KG K DB;3y k  d;HIZLITAY;MAYADAĞ;57 +0.40;T.ALICI;ÜMİT UZUNOĞLU;E.ERGÜNAY;4;%4.37(4);;1:12.02;8,65;Boyun
4;MRS MALİBU KG K;3y a  d;MERTADAM;RONAYCAN;57;T.YILDIZ;ALİ ATAŞ;A.ATAŞ;2;%65.06(1);;1:12.06;1,60;Baş
5;ŞAHİN MELTEM;3y k  d;ŞAHİNTER;KIZIMMELTEM;57;B.M.MIRIK;SELİM KAYA;SERH.YILDIRIM;7;%9.04(3);;1:12.09;3,95;
6;SOLUKMAVİ KG DB SK;3y k  d;ÖZGÜNHAN;MACAR KIZI;57;A.İNCİ;AVNİ KAYA;C.T.KÖSE;6;%3.93(5);;1:13.58;15,15;
7;AYANA KG DB SK;3y d  d;ÖZGÜNHAN;ÖZGÜR NAZ;57;A.KÜRÜNDÜK;ABDULLAH KAYA;C.T.KÖSE;5;%1.78(7);;1:14.57;17,10;
8;EFSANEVİTAY DB SK;3y k  d;KAFKASLIEFSANESİ;HANIMCIM;53 +0.80;Y.GÖKÇE AP;AZİZE KAYA;M.Y.YILDIRIM;3;%1.46(8);;1:17.89;23,70;
GANYAN(2) :11,00 TL, İKİLİ(1/2) :37,10 TL, SIRALI İKİLİ(2/1) :120,25 TL, ÜÇLÜ BAHİS(2/1/8) :1.310,80 TL, PLASE(1) :34,35 TL, PLASE(2) :61,15 TL, 1. ÇİFTE(9/2) :162,90 TL

3. Kosu :   19.00;Handikap 15 /H2; 3 ve Yukarı İngilizler; kg; 2100m; Kum;;;;Rekor Derece :2.12.31
İkramiye;;;;;Yetiştirici Primi;;;;
1.)490.000 TL;2.)196.000 TL;3.)98.000 TL;4.)49.000 TL;5.)24.500 TL;1.)88.200 TL;2.)35.280 TL;3.)17.640 TL;4.)8.820 TL;5.)4.410 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;TATBİKAT KG K DB;4y k  a;GRAYSTORM;NEMASTEE;53;İ.S.SÖĞÜT;İBRAHİM ALTUNBAŞ;A.ATAŞ;11 - DS;%2.31(11)  %1.95(11);39;2:18.06;27,90;Boyun
2;ANGEL ON THE RIGHT DB SKG SK;4y d  a;ÇAKAL CARLOS;CRAFTY ANGEL (USA);51;B.BÜLBÜL AP;ERALP TURHAN;S.YUDUM;7;%21.46(1)  %29.98(1);35;2:18.11;2,10;1,5  Boy
3;F THIRTY FIVE DB SKG SK;5y k  a;BODEMEISTER (USA);SETRYN;51 +2.00;C.PASO;ÇETİN ÖZDİL;Ç.ÖZDİL;10 - DS;%3.84(9)  %3.57(8);31;2:18.33;16,45;2 Boy
4;BLUE REFLECTION KG DB;4y d  a;INVINCIBLE SON (IRE);SHIAWASSEE (USA);54,5 +1.20;B.M.MIRIK;ŞİRİN HATİPOĞLU;M.GÜDÜCÜ;2;%3.67(10)  %3.36(9);42;2:18.62;18,90;1,5  Boy
5;COOL POWER DB SKG SK;5y d  a;AIR VICE MARSHAL (USA);BIRD SECRETS (USA);59;R.KETME AP;MÜNEVVER ÖRKÜN;FAH.CEYLAN;4;%7.27(6)  %6.12(6);53;2:18.85;13,55;
6;SUPER BERK DB SKG SK;4y d  a;SUPER SAVER (USA);KARA ELMAS;60;Y.GÖKÇE AP;A.CEYDA FEYZULLAH;C.YILDIRIM;3;%13.67(3)  %12.86(3);59;2:19.56;5,10;
7;BIG HONEY DB SKG SK;4y d  a;TOROK (IRE);LUCKY NAME;50 +2.00;E.D.ÖKTEN AP;SEBAHADDİN KAMBER;D.TEKELİ;9 - DS;%5.91(7)  %5.94(7);30;2:19.69;12,55;
8;BAHİSÇİ DB SKG SK;4y d  a;MENDIP (USA);KIZIM HİRA;58,5;M.ÇİÇEK;ŞEHABETTİN DOYAN;M.BULUT;1;%12.23(4)  %11.7(4);50;2:20.70;6,70;
9;RÜZGAR AKARCA K DB;4y d k;BODEMEISTER (USA);GRAND AKARCA;57;Ö.F.ÖZEN AP;TURGAY AKARCA;B.GÜL;12 - DS;%9.34(5)  %7.56(5);51;2:21.43;9,40;
10;LODATO SKG SK;4y a  a;LION HEART (USA);RUMBA;58,5;A.MEH.ALTIN AP;ANNABELLA SPONZA TIRPANÇEKER;Ş.ÖZDENİZ;6;%4.2(8)  %3.14(10);54;2:21.93;26,40;
11;DOĞU ASLANI DB SKG SK;4y k  a;GRAYSTORM;NURŞO;55 +0.50;A.KÜRÜNDÜK;RECEP KETME;V.ÖNDER;5;%15.6(2)  %13.4(2);43;2:22.23;4,70;
12;COOKIE SK;5y d  a;TEMELHAN;SILVER GLEAM;52 +0.70;S.AKŞIN AP;MEHMET ERCİL;N.GÖNÜLTAŞ;8;%0.51(12)  %0.43(12);35;2:25.48;77,40;
GANYAN(8) :27,90 TL, İKİLİ(8/9) :58,75 TL, SIRALI İKİLİ(8/9) :209,35 TL, 2. ÇİFTE(2/8) :658,90 TL

4. Kosu :   19.30;Handikap 15/DHT/Dişi /H2; 4 Yaşlı Araplar; kg; 1400m; Kum;;;;Rekor Derece :1.32.97
İkramiye;;;;;Yetiştirici Primi;;;;
1.)490.000 TL;2.)196.000 TL;3.)98.000 TL;4.)49.000 TL;5.)24.500 TL;1.)88.200 TL;2.)35.280 TL;3.)17.640 TL;4.)8.820 TL;5.)4.410 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;BABY ARYA KG DB SK;4y k k;FİRİKYA;UĞANBİKE;59;GÖKH.GÖKÇE;TUNCER GÖKÇE;SEY.GÖKÇE;12;%16.27(3)  %16.03(3);54;1:38.51;4,20;1 Boy
2;SOSAN YILDIZI KG DB SK;4y a k;PİRSUS;KOŞANSAÇAN;55 +0.60;B.M.MIRIK;MUSA SOSAN;A.ATAŞ;4;%5.33(6)  %5.85(6);46;1:38.65;12,50;Yarım Boy
3;MAVİ LADİN KG SK GKR;4y k k;YAŞARCIK;ESRAM;58;N.AVCİ;SARP ERTÜRK;E.ÇUKURKAŞ;10;%24.71(1)  %24.37(1);52;1:38.74;3,15;7,5 Boy
4;KURUKAHVE KG K DB;4y a k;UÇANOĞLU;ŞANSLI AYAK;51 +2.00;Y.GÖKÇE AP;MEHMET DEMİRKOL;M.KARACA;6;%8.51(4)  %8.74(4);38;1:40.00;11,60;2,5 Boy
