Elazığ;(8. Yarış Günü);29/04/2026
1. Kosu :   17.45;Handikap 15 /H3; 3 Yaşlı İngilizler; kg; 1900m; Kum;;;;Rekor Derece :2.01.31
İkramiye;;;;;Yetiştirici Primi;;;;
1.)350.000 TL;2.)140.000 TL;3.)70.000 TL;4.)35.000 TL;5.)17.500 TL;1.)63.000 TL;2.)25.200 TL;3.)12.600 TL;4.)6.300 TL;5.)3.150 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;VAN KALESİ KG DB SK;3y a  e;INDIAN DAYS (GB);SEA VALLEY;52 +0.80;Ç.CANPOLAT AP;AHMET DİLMAÇ;Y.BAYSAL;4;%6.51(4);36;2:14.98;11,25;6 Boy
2;NIGHT KING SK;3y d  e;TOROK (IRE);CELALİYE;51 +1.80;B.SARIDAL AP;MEHMET ALİ BECENE;MEHM.KAYA;6;%9.89(3);34;2:16.14;6,40;3 Boy
3;KING OF RACE DB SKG SK;3y k  e;NİHAVEND LONGA;MORETHANAWARNING (USA);60,5;F.YARDIMCI;FERİT YARDIMCI;A.YARDIMCI;5;%57.53(1);53;2:16.75;1,35;9 Boy
4;ÇEVİK PRENSES SK;3y d  d;TU BRUTUS (CHI);SIRIUS;52 +1.90;N.ALTIN;REFİK ÇEVİK;M.BULUÇ;2;%16.68(2);36;2:18.60;2,95;7,5 Boy
5;MAVERICK SHADOW KG DB SK;3y d  e;PRESSING (IRE);VİVA SHA;54 +2.00;M.DOĞAN;BAKİ BAKIR BOYRAZ;Z.AKDEMİR;1;%4.53(6);40;2:20.24;12,15;
6;SAYAN BEY SKG SK;3y d  e;FINESSE;BIXI;50,5 +2.00;İ.AKIN AP;RAMAZAN SOYAN;T.ÇİZİK;3;%4.85(5);33;2:25.97;10,05;
GANYAN(4) :11,25 TL, SIRALI İKİLİ(4/5) :64,70 TL

2. Kosu :   18.30;ŞARTLI 3/DHÖW; 4 Yaşlı Araplar; 58.00kg; 1800m; Kum;;;;Rekor Derece :2.07.30
İkramiye;;;;;Yetiştirici Primi;;;;
1.)280.000 TL;2.)112.000 TL;3.)56.000 TL;4.)28.000 TL;5.)14.000 TL;1.)50.400 TL;2.)20.160 TL;3.)10.080 TL;4.)5.040 TL;5.)2.520 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;ESSANCAR KG SK;4y a  a;FATİH AĞA;DİLANCANPOLAT;58;A.AKDEMİR;İSMAİL SANCAR;M.A.SUBAY;1;%74.77(1);61;2:20.22;1,20;3 Boy
2;MERHAMET K DB;4y k k;FATİH AĞA;ALARASULTAN;56 +1.00;Y.CENGİZ;KEMAL YARDIMCI;A.YARDIMCI;6;%10.07(2);46;2:20.80;4,75;5 Boy
3;ŞAHKAYA KG DB SK;4y d  a;YÜREKKAYA;DESTENAZ;58;H.ALTUNDAĞ;AHMET BABACAN;F.YALÇINKAYA;5;%3.67(4);30;2:21.72;11,25;1,5  Boy
4;BOYRAZAĞA KG K;4y a  a;LASMAR;ORGÜL TAY;55 +0.10;İ.AKYAVUZ;İBRAHİM HAKKI BOYRAZ;Z.AKDEMİR;2;%8.96(3);37;2:21.97;4,50;30 Boy
5;EFRUZKIZI DB SKG SK;4y k k;TAMERİNOĞLU;BALKUŞU;55 +1.10;M.DOĞAN;AHMET KAYA;F.YALÇINKAYA;3;%0.75(6);33;2:28.39;21,40;
6;ŞEVVALNUR KG DB SK;4y k k;TAMERİNOĞLU;ZEYNEPŞEVVAL;55 +2.00;M.A.AKTÜRK;FEHMİ İLERİ;MAHMUT DOĞAN;7;%1.28(5);41;2:39.90;20,25;
7;İNCİ KEFALİ KG SK;4y a k;KURUŞAĞA;DİZDARRANA;55 +2.00;H.ALTUNKILIÇ;MEHMET SIDDIK ARSLAN;F.YALÇINKAYA;4;%0.5(7);;3:15.67;26,60;
GANYAN(1) :1,20 TL, İKİLİ(1/3) :2,70 TL, SIRALI İKİLİ(1/3) :3,00 TL, ÜÇLÜ BAHİS(1/3/2) :17,40 TL, 1. ÇİFTE(4/1) :12,30 TL

3. Kosu :   19.00;Maiden/DHÖW; 3 Yaşlı Araplar; 57.00kg; 1100m; Kum;;;;Rekor Derece :1.18.97
İkramiye;;;;;Yetiştirici Primi;;;;
1.)395.000 TL;2.)158.000 TL;3.)79.000 TL;4.)39.500 TL;5.)19.750 TL;1.)118.500 TL;2.)47.400 TL;3.)23.700 TL;4.)11.850 TL;5.)5.925 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;CEMİYET HAYATI KG K DB;3y a  e;CANYOLDAŞ;GÜNBATIMI;57 +0.30;Y.CENGİZ;BAKİ BAKIR BOYRAZ;Z.AKDEMİR;8;%16.37(3)  %20.5(3);;1:23.00;2,50;3,5 Boy
2;KALBİN KG K;3y k  d;FİRİKYA;MAKARON;55 +1.10;M.DOĞAN;MEHMET TURAN;MAHMUT DOĞAN;2;%23.01(2)  %23.84(2);;1:23.76;2,80;5,5 Boy
3;DEDEBEDO KG K;3y k  e;BİLDENHAN;SEVDA KIZI;57;İ.KATAR;LÜTFİ ÇELİK;S.KARAKEÇİLİ;4;%27.47(1)  %26.81(1);;1:24.94;3,45;4 Boy
4;ALİYE ANA KG SK;3y k  d;POYRAZYELİ;KIZILNEHİR;55 +2.00;A.ÇANKAYA AP;MAHMUT YARDIMCI;A.YARDIMCI;3;%7.57(5)  %6.6(5);;1:25.82;13,90;Boyun
5;SON KRALİÇE KG SK;3y a  d;GÜMBÜRGÜMBÜR;ASLIATLI;55 +1.30;A.H.BAYAR;NÜSRET CANPOLAT;M.KARALI;1;%2.28(9)  %1.8(9);;1:25.90;18,00;
6;SEDERİ GÜZELİ KG SK;3y a  d;BALALAYKA;ÖZ ŞUBAT;55 +0.20;İ.AKYAVUZ;MEHMET ALİ ÇEÇAN;M.A.SUBAY;10;%13.48(4)  %11.73(4);;1:28.29;6,25;
7;NECAT KG DB SK;3y a  e;ORHUNKAAN;ŞEVVALGÜLÜ;57 +0.20;M.A.AKTÜRK;HÜSEYİN ÖZKAN;S.KARAKEÇİLİ;5;%2.35(8)  %2.22(8);;1:32.08;24,25;
8;NERGİS SULTAN KG K;3y k  d;TÜMÖZ BEY;SERVERMEZ;54;B.SARIDAL AP;ĞEMDİN ULUCAN;B.FAHRİOĞLU;9;%3.2(6)  %2.62(6);;1:32.48;18,95;
9;TRIAN KG K;3y a  d;SAADIN GÜCÜ;OKGİBİ;55 +2.00;H.ALTUNDAĞ;HAMZA CANLIKA;Y.BAYSAL;6;%2.67(7)  %2.54(7);;1:33.41;29,75;
10;KOĞUN SESİ KG K;3y a  d;DİZDAR BEY;ÜLFET HANIM;55 +2.00;H.ALTUNKILIÇ;YAHYA İŞIK;A.IŞIK;7;%1.59(10)  %1.34(10);;1:33.52;31,90;
GANYAN(1) :2,50 TL, İKİLİ(1/5) :6,65 TL, SIRALI İKİLİ(1/5) :12,45 TL, 2. ÇİFTE(1/1) :3,90 TL

4. Kosu :   19.30;ŞARTLI 3; 3 Yaşlı İngilizler; 58.00kg; 1200m; Kum;;;;Rekor Derece :1.12.50
İkramiye;;;;;Yetiştirici Primi;;;;
1.)280.000 TL;2.)112.000 TL;3.)56.000 TL;4.)28.000 TL;5.)14.000 TL;1.)50.400 TL;2.)20.160 TL;3.)10.080 TL;4.)5.040 TL;5.)2.520 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;MERT PAŞA DB SK;3y d  e;HAKEEM (USA);PAÇİ;56 +1.40;H.ALTUNDAĞ;E.KAYHAN ERGİN;F.YALÇINKAYA;7;%17.14(3)  %16.26(3);59;1:19.11;4,15;1,5  Boy
2;KRAL ALPER DB SKG SK;3y a  e;MY FREEDOM;EMIKA;55 +0.70;N.ALTIN;ALİ BAKIR;F.BAKIR;1;%9.39(4)  %8.36(4);52;1:19.37;7,95;2,5 Boy
3;YELELİ KIZ KG DB SK;3y d  d;TOUGH GUY;LORENA;54 +1.90;F.YARDIMCI;MERVE ÖZDEMİR;T.AYDIN;5;%24.55(2)  %24.88(2);56;1:19.80;2,60;1,5  Boy
4;RÜZGAR AGAH KG DB SK;3y d  e;ULAN BATOR;NALAN SULTAN;58;E.AKKILIÇ;EYYÜP ÇİZİK;T.ÇİZİK;3;%5.95(6)  %5.78(5);34;1:20.11;13,35;6 Boy
5;ÇEVİK DEVRANI DB SKG SK;3y d  e;DIVINE HEART;GLORY LADY;56 +1.20;M.A.AKTÜRK;REFİK ÇEVİK;M.BULUÇ;6;%5.12(5)  %4.18(6);36;1:21.36;6,20;
6;TELGRAF KG SK;3y d  d;TOUGH GUY;LASER GIRL;55 +2.00;MEH.TAŞKAYA;TAHİR KIRAN;T.AYDIN;4;%33.76(1)  %37(1);67;1:22.01;2,30;
7;KADIKÖY GÜZELİ KG K;3y d  d;BODYGUARD HERO (USA);LETTHEMUSICTAKEUS (IRE);55 +1.20;M.DOĞAN;REFİK ÇEVİK;M.BULUÇ;2;%1.31(5)  %1.12(6);39;1:22.34;6,20;
8;LITTLE CHIRAL KG DB SK;3y d  e;FINESSE;OGEY;58;Y.CENGİZ;HALİL YILMAZER;R.BARMAN;9;%1.1(8)  %0.95(8);34;1:23.61;33,45;
9;SLICE OF LIFE KG SK;3y a  e;VICTOIRE PISA (JPN);PARDON KIZ;55 +1.20;A.AKDEMİR;MEHMET NARÇİN;M.BULUÇ;8;%1.68(7)  %1.48(7);;1:26.83;22,70;
[(8)ÇEVİK DEVRANI,(9)KADIKÖY GÜZELİ,] eküridir.GANYAN(4) :4,15 TL, 1. 3'LÜ GANYAN(1/1/4) :51,80 TL, İKİLİ(3/4) :19,55 TL, SIRALI İKİLİ(4/3) :34,35 TL, ÜÇLÜ BAHİS(4/3/7) :200,00 TL, PLASE(3) :5,00 TL, PLASE(4) :1,95 TL, 3. ÇİFTE(1/4) :19,00 TL

