İstanbul;(6. Yarış Günü);26/04/2026
1. Kosu :   14.30;ŞARTLI 3/Dişi; 3 Yaşlı İngilizler; 58.00kg; 2000m; Sentetik;;;;Rekor Derece :2.00.81
İkramiye;;;;;Yetiştirici Primi;;;;
1.)470.000 TL;2.)188.000 TL;3.)94.000 TL;4.)47.000 TL;5.)23.500 TL;1.)84.600 TL;2.)33.840 TL;3.)16.920 TL;4.)8.460 TL;5.)4.230 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;LA COPA K;3y d  d;KLIMT (USA);ŞANZELİZEM;58;A.ÇELİK;AVNİ GÖKKAN;B.YÜKSEL;7 - DS;%5.5(5);53;2:05.08;9,70;1 Boy
2;FINALLY ITS TIME KG DB SK;3y d  d;SUPER SAVER (USA);BLOOMY;56;Y.GÖKÇE AP;CUMA YILDIRIM;M.AKKILIÇ;6;%12.55(4);51;2:05.26;5,30;Boyun
3;NEURO MATH KG DB SK;3y d  d;CRIMEAN TATAR;PEPER POTTS;55 +2.00;A.KURŞUN;YENER GİRİŞKEN;H.KABUKCI;2;%15.39(3);53;2:05.30;3,85;Yarım Boy
4;ACTION WONDER DB SK;3y d  d;TOROK (IRE);DERİNİYA;58;G.KOCAKAYA;TALİP ÖZTÜRK;İB.B.OĞULLARI;1;%26.99(2);58;2:05.35;2,30;7 Boy
5;AINT NOBODY K;3y d  d;TOROK (IRE);FREE BIRD;58;Ö.F.ÖZEN AP;ERDEM BEKMEZCİ;SER.YILDIZ;4;%36.79(1);63;2:06.35;2,40;
6;SAMUİ KG DB SK;3y d  d;TIZWAY (USA);SAYRA KIZIM;55 +0.20;B.AKÇAY;ABDURRAHİM KIRAMANLIOĞLU;E.USLU;3;%0.91(7);30;2:07.95;27,05;
7;THE ANATOLIAN DB SKG SK;3y d  d;TILSIT (USA);CARPE KOI;55 +0.80;A.YILDIZ;TUĞBA BABACAN;M.E.AVCI;5;%1.87(6);48;2:08.57;18,20;
GANYAN(4) :9,70 TL, İKİLİ(2/4) :26,10 TL, SIRALI İKİLİ(4/2) :79,75 TL

2. Kosu :   15.00;Handikap 15 /H2; 3 Yaşlı İngilizler; kg; 2000m; Sentetik;;;;Rekor Derece :2.00.81
İkramiye;;;;;Yetiştirici Primi;;;;
1.)595.000 TL;2.)238.000 TL;3.)119.000 TL;4.)59.500 TL;5.)29.750 TL;1.)107.100 TL;2.)42.840 TL;3.)21.420 TL;4.)10.710 TL;5.)5.355 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;THE CHOSEN KG SK;3y d  e;TILSIT (USA);LITTLE BIRD;50,5 +2.00;A.KAÇMAZ;NEDİM AKAGÜNDÜZ;D.ERGİN;5;%7.02(6);34;2:03.91;9,00;Boyun
2;NART THE BATTLE K DB;3y d  e;BATTLEGROUND (USA);AFTERNOON (IRE);52,5 +2.00;V.ABİŞ;ONUR DİLBAZ;İB.B.OĞULLARI;3;%23.8(2);38;2:03.94;2,70;1 Boy
3;NINE TREES KG DB SK;3y d  e;GENERAL QUARTERS (USA);AKMARAL;60,5;M.KAYA;SEMRA AKSU;T.O.KARA;4;%7.47(5);54;2:04.08;8,40;1 Boy
4;ZYRA SKG SK;3y d  e;SADLER'S JOY (USA);EMBASSY PEARL (IRE);53,5 +1.50;G.KOCAKAYA;MERZUHA SARISOY;Z.TEMUÇİN;7 - DS;%29.44(1);40;2:04.20;1,95;6 Boy
5;SON OF SAINT DB SK;3y d  e;TIZWAY (USA);BİDEVİ;58,5;A.ÇELİK;EREN YILMAZ;C.TURAN;2;%14.91(3);50;2:05.01;7,00;
6;WATERSHED KG DB SK;3y k  e;NATIVE KHAN (FR);ROMAN RIDGE (FR);50 +2.00;M.MANAV AP;GÜLŞEN DÜLGER;H.DÜLGER;6 - DS;%3.21(7);35;2:05.19;19,00;
7;TERCAL NİHAT DB SK;3y a  e;FINESSE;DELAL SULTAN;52,5 +2.00;B.AKÇAY;FETİ DAĞ;At Sahibi;1;%14.15(4);38;2:05.28;5,35;
GANYAN(7) :9,00 TL, İKİLİ(4/7) :13,25 TL, SIRALI İKİLİ(7/4) :38,85 TL, ÜÇLÜ BAHİS(7/4/1) :473,40 TL, 1. ÇİFTE(4/7) :128,90 TL

3. Kosu :   15.30;Maiden/DHÖW; 3 Yaşlı Araplar; 57.00kg; 1000m; Çim;;;;Rekor Derece :1.04.34
İkramiye;;;;;Yetiştirici Primi;;;;
1.)600.000 TL;2.)240.000 TL;3.)120.000 TL;4.)60.000 TL;5.)30.000 TL;1.)180.000 TL;2.)72.000 TL;3.)36.000 TL;4.)18.000 TL;5.)9.000 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;HASNENNİ KG K;3y d  e;KAFKASEFE;MELEKPER;57;H.KARATAŞ;BAKİ BAKIR BOYRAZ;M.DEMİROL;7;%30.96(1)  %29.19(1);;1:04.34;2,00;1,5  Boy
2;ŞELEMZAR KG K;3y a  e;GELİBOLU;FERZAN;57;G.ÖZÇELİK;ÖMER FARUK ÇELİK;F.TURAN;2;%16.57(3)  %16.28(3);;1:04.55;4,85;1 Boy
3;AYDIN DAYI SK;3y k  e;YAKUPBEY;CANAYCAN;57;A.ÇELİK;GÜLİZAR YANIK;M.DOLAK;4;%20.07(2)  %21.36(2);;1:04.67;2,40;4 Boy
4;ENESBERKE KG K;3y k  e;BERKSOY;BAFRALI;57;M.KAYA;İBRAHİM HAKKI BOYRAZ;M.DEMİROL;1;%5.55(1)  %5.67(1);;1:05.31;2,00;1 Boy
5;HAN ÇERCİ KG K;3y a  e;GÜNTAY;ULUBAŞ;57;V.ABİŞ;RECEP BATUHAN KELEŞ;MUR.AKKILIÇ;8;%9.2(4)  %9.45(4);;1:05.43;7,40;
6;KAFKAS YÜREKLİ KG DB SK;3y d  e;KAYAYÜREKLİ;AMANKAYA;57;A.YILDIZ;AHMET KAYA;M.DEMİRTAŞ;6;%5.01(5)  %5.26(5);;1:05.90;14,60;
7;HIRÇIN DADAŞ KG K GKR;3y d  e;DEHA;POLEN;57;İ.SOYAD;MELAHAT BAGUÇ;H.KURT;9 - DS;%3.64(6)  %3.71(6);;1:06.85;17,65;
8;USKUMRU K;3y a  e;SAADIN GÜCÜ;ARDANAY;57 +0.10;H.ÇİZİK;ESEN KARANLIK;GÖK.GÖKÇE;3;%2.89(7)  %2.98(7);;1:07.51;8,95;
