Ankara;(11. Yarış Günü);14/05/2026
1. Kosu :   14.30;Handikap 15 /H1; 3 ve Yukarı İngilizler; kg; 2100m; Kum;;;;Rekor Derece :2.12.77
İkramiye;;;;;Yetiştirici Primi;;;;
1.)595.000 TL;2.)238.000 TL;3.)119.000 TL;4.)59.500 TL;5.)29.750 TL;1.)107.100 TL;2.)42.840 TL;3.)21.420 TL;4.)10.710 TL;5.)5.355 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;GECENİN ATEŞİ DB SK;4y d  a;WEST COAST** (USA);NOT A PROBLEM (USA);51 +2.00;M.KESKİN;NURAY TEMİZKAN;Ö.F.TAN;4;%4.63(8);35;2:21.33;13,65;Yarım Boy
2;AGE OF DISCOVERY DB SK;4y d  a;INVINCIBLE SON (IRE);OVER ANDOVER (USA);56,5;V.ABİŞ;KURTCA KAVAS;O.BULUT;1;%21.12(2);50;2:21.39;3,65;2,5 Boy
3;EL INTOCABLE KG DB SK;5y d  a;PAPA CLEM (USA);HALİME ABLA;55;E.ÇİZİK;HARİKA GİDER;K.KORKMAZ;6;%7.19(6);44;2:21.83;11,70;7 Boy
4;KING MALKOÇ KG K DB;5y d  a;AUTHORIZED (IRE);TROPICAL THUNDER;60;İSM.YILDIRIM AP;MEHMET CAHİT MALKOÇ;A.ÇIKMAN;8;%8.41(5);58;2:22.97;9,50;5,5 Boy
5;MONUMENTAL KG DB SK;4y d  a;MYBOYCHARLIE (IRE);PIN UP;59;G.KOCAKAYA;RECEP AVŞAR;HÜS.KARABULUT;9;%24.43(1);55;2:23.85;2,35;
6;FEMALE EAGLE KG SK;4y d k;COOGER;WESTERN LADY;59,5;M.KIYAK AP;BÜLENT CANGİR;A.ÇİFTÇİ;10;%11.94(3);60;2:24.18;5,70;
7;FORTUNELLO SKG SK;7y d  a;SMART ROBIN (JPN);SPIRA (IRE);59;Y.GÖKÇE AP;SELİN DİKENCİK;M.ÖZGÜL;7;%2.48(10);58;2:25.65;18,80;
8;ESATIM KG DB SK;4y d  a;GÜNGÖR BABA;SARI ARI;61;ER.CANKILIÇ AP;MEHMET HANİFİ POLAT;T.ATEŞ;2;%5.19(7);63;2:33.61;8,95;
9;LAMAZİ GOGO DB SKG SK;4y a k;SEFİR BEY;THE GIPSY;58;A.KURŞUN;FATMA BAŞBOĞA;Y.MİSDİK;3;%11.07(4);53;2:35.71;7,50;
10;CROWNED DB SK;5y d  a;BODEMEISTER (USA);FLY WINGS;62;M.AKYAVUZ;SONGÜL YILDIRIM;F.ARICI;5;%3.53(9);58;2:35.72;19,35;
GANYAN(10) :13,65 TL, İKİLİ(8/10) :33,55 TL, SIRALI İKİLİ(10/8) :110,75 TL

2. Kosu :   15.00;ŞARTLI 4; 2 Yaşlı İngilizler; 57.00kg; 1000m; Çim;;;;Rekor Derece :0.55.85
İkramiye;;;;;Yetiştirici Primi;;;;
1.)595.000 TL;2.)238.000 TL;3.)119.000 TL;4.)59.500 TL1.)178.500 TL;2.)71.400 TL;3.)35.700 TL;4.)17.850 TL
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
