Bursa;(8. Yarış Günü);08/05/2026
1. Kosu :   14.00;Handikap 15 /H2/Y1; 3 ve Yukarı İngilizler; kg; 1400m; Kum;;;;Rekor Derece :1.24.50
İkramiye;;;;;Yetiştirici Primi;;;;
1.)490.000 TL;2.)196.000 TL;3.)98.000 TL;4.)49.000 TL;5.)24.500 TL;1.)88.200 TL;2.)35.280 TL;3.)17.640 TL;4.)8.820 TL;5.)4.410 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;WOODLAND CRY KG DB SK;4y d  a;BLUEGRASS CAT (USA);TAMIT (IRE);55,5 +0.90;E.AKPINAR;UĞUR DEMİREL;İ.CANPOLAT;6;%36.28(1);44;1:27.70;2,65;5 Boy
2;KING OF ALİ DB SK;4y d  a;TOROK (IRE);GOLDCHAIN;51 +0.70;Y.T.AKKAYA;ALİ PASO;S.BAYDAN;3;%14.96(3);35;1:28.61;3,45;2 Boy
3;GENÇAY NALAN DB SKG SK;5y a k;SHERE KHAN;AKYAZILI HANDE;59,5;R.KETME;CİHAN ERDEM KOPAL;E.TURAN;4;%24.91(2);51;1:28.86;2,65;4 Boy
4;KUMSALIM KG DB SK;5y d k;MYBOYCHARLIE (IRE);DONT MAKE ME CRY;55 +1.50;H.TURAN;SİNAN AKKUŞ;R.COŞKUN;2;%3.64(5);42;1:29.58;8,95;7 Boy
5;TOLGA REİS KG DB SK;4y d  a;RUN AWAY AND HIDE (USA);TWIST LADY;51,5 +0.40;Ç.TAŞCI;A.CEYDA FEYZULLAH;C.YILDIRIM;7;%3.32(6);36;1:30.80;12,55;
6;KING OF THE SEA DB SKG SK;5y a  a;BLUEGRASS CAT (USA);PICKETLINE (USA);53,5 +1.20;İ.GÜREKE;ENGİN KARABULUT;A.ÖZDENİZ;9 - DS;%2.99(4);39;1:31.04;5,10;
7;PAKSUHAN DB SKG SK;4y d  a;KING OF THE SUN;ÇALPARA;50;E.KORKMAZ;MUSTAFA ÖKSÜZ;M.TÜRKOĞLU;5;%1.91(7);27;1:31.59;15,05;
8;MEGA POWER KG K DB;5y d  a;MENDIP (USA);CARNA;61,5;E.AKKAYA;ENGİN KARABULUT;A.ÖZDENİZ;8;%5.67(4);55;1:33.00;5,10;
9;WARRIORS PATH KG K DB (Koşmaz);4y d  a;AVERY ISLAND (USA);WATCH THE STORM;63;K.YILMAZ;CİMŞİT YILDIZ;T.ATEŞ;1;%6.33(8);59;Koşmaz;1,05;
[(6)KING OF THE SEA,(2)MEGA POWER,] eküridir.GANYAN(4) :2,65 TL, İKİLİ(4/8) :5,00 TL, SIRALI İKİLİ(4/8) :7,20 TL

2. Kosu :   14.30;Handikap 15 /H2; 3 Yaşlı İngilizler; kg; 2200m; Çim;;;;Rekor Derece :2.14.07
İkramiye;;;;;Yetiştirici Primi;;;;
1.)490.000 TL;2.)196.000 TL;3.)98.000 TL;4.)49.000 TL;5.)24.500 TL;1.)88.200 TL;2.)35.280 TL;3.)17.640 TL;4.)8.820 TL;5.)4.410 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;PRANDELLO K;3y a  e;PHOENIX OF SPAIN (IRE);DANCING D QUEEN (IRE);60;M.M.BİLGİN;A.LEVENT DİLMAÇ;İ.ÇAK;2;%42.4(1);51;2:16.16;2,10;4 Boy
2;BLACKFYRE KG K DB;3y d  e;VICTOR LUDORUM (GB);GAVEA (IRE);55;N.AVCİ;ŞEYDA ERCAN;A.AKBULUT;3;%16.2(3);41;2:16.78;5,25;4 Boy
3;BABA BATTAL KG DB SK;3y d  e;FINESSE;MARWARI;59;A.MEH.ALTIN AP;AZİZ BECENE;İ.TURAN;6;%17.31(2);53;2:17.38;2,80;5 Boy
4;SPECIAL STAR DB SK;3y d  d;LUXOR;ASTARMA;50 +2.00;O.ATMACA;BİRCAN AKGÜN;Ş.GÜMÜŞ;1;%1.59(7);20;2:18.21;25,85;5 Boy
5;SON OF SAINT DB SK;3y d  e;TIZWAY (USA);BİDEVİ;59,5;MAH.TURAN;EREN YILMAZ;T.AVCI;8;%6.26(5);50;2:19.10;10,00;
6;MY LIFE FIRE KG DB SK;3y d  e;JUNGLE MAN;HOPE;53,5 +2.00;O.YILDIZ;İ.SUAT KUTLU;K.ŞENGEL;4;%12.41(4);38;2:23.37;3,90;
7;SKY CHARLIE DB SK;3y d  e;MYBOYCHARLIE (IRE);SKY CAVALRY;54 +2.00;B.M.MIRIK;KORHAN BERBEROĞLU;Ş.GÜMÜŞ;5;%3.34(6);39;2:25.76;18,85;
8;SHARP SWORD KG DB SK;3y d  e;KULOĞLU;BLAZING SPEED;50 +2.00;S.TIRPAN;ONUR TÜRKER;M.ÖZGÜL;7;%0.49(8);9;2:30.46;46,75;
GANYAN(2) :2,10 TL, İKİLİ(2/4) :3,90 TL, SIRALI İKİLİ(2/4) :6,85 TL, ÜÇLÜ BAHİS(2/4/1) :32,00 TL, PLASE(2) :1,05 TL, PLASE(4) :1,05 TL, 1. ÇİFTE(4/2) :4,40 TL

3. Kosu :   15.00;ŞARTLI 4; 3 Yaşlı İngilizler; 58.00kg; 2000m; Kum;;;;Rekor Derece :2.06.06
İkramiye;;;;;Yetiştirici Primi;;;;
1.)490.000 TL;2.)196.000 TL;3.)98.000 TL;4.)49.000 TL;5.)24.500 TL;1.)88.200 TL;2.)35.280 TL;3.)17.640 TL;4.)8.820 TL;5.)4.410 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;ÇELİK MENGENE SK;3y a  e;BEST SOLUTION (IRE);NASHITA (GER);58;M.ÇİÇEK;ERAY HAZAR;M.TÜRKOĞLU;1;%43.95(1);67;2:09.59;1,85;1,5  Boy
2;AZP STAR DB SK;3y d  e;HAKEEM (USA);MISS TUDOR;58;N.AVCİ;HASAN YAVUZEL;Y.TUNCAY;6;%39.82(2);63;2:09.79;1,60;13 Boy
3;YILMAKENAN DB SK;3y a  e;PAPA CLEM (USA);KÖREBE;55 +1.60;Ç.OK;AYŞE ALTIN;F.TOSUN;4;%3.02(4);31;2:12.09;9,30;1 Boy
4;ASLAN SAİM DB SK;3y d  e;PAPA CLEM (USA);NORTHERN SKY;55 +0.60;M.A.AKGÖBEK AP;SAİM GÖRMEZ;B.GÖRMEZ;3;%9.78(3);39;2:12.26;6,90;Burun
5;EGEM DB SKG SK;3y d  e;KINOWA;DREAM FAIRY;54;O.ATMACA;GÖZDE ECE DAĞTEKİN;Y.AKBULUT;5;%0.96(6);14;2:12.27;43,55;
6;LAKE EAGLE SK;3y d  e;COOGER;EOLA;54 +0.40;C.ALTUN;RECAİ NARTER;M.TÜRKOĞLU;2;%0.81(7);32;2:12.54;62,80;
7;GECE İZ KG K DB;3y d  d;MENDIP (USA);MISS DURU;53 +0.50;Ö.F.ÖZEN AP;LEVENT ŞENTÜRK;A.R.AYDIN;7;%1.66(5);38;2:25.16;24,75;
