Diyarbakır;(3. Yarış Günü);02/05/2026
1. Kosu :   21.00;ŞARTLI 3/DHT; 4 ve Yukarı Araplar; 58.00kg; 59.00 kg; 1200m; Kum;;;;Rekor Derece :1.19.83
İkramiye;;;;;Yetiştirici Primi;;;;
1.)280.000 TL;2.)112.000 TL;3.)56.000 TL;4.)28.000 TL;5.)14.000 TL;1.)50.400 TL;2.)20.160 TL;3.)10.080 TL;4.)5.040 TL;5.)2.520 TL;
8;CANROBİN KG;4y a  a;NASUHOĞLU;FERAYE;54 +2.00;A.H.BAYAR;MEHMET DEMİRKAPI;E.AÇMAZ;1;%1.51(6);38;2:37.28;32,05;
GANYAN(4) :2,60 TL, İKİLİ(3/4) :8,75 TL, SIRALI İKİLİ(4/3) :19,50 TL, ÜÇLÜ BAHİS(4/3/1) :51,10 TL, PLASE(3) :2,05 TL, PLASE(4) :1,45 TL, 1. ÇİFTE(10/4) :43,45 TL

3. Kosu :   22.00;Handikap 13 /H3; 3 ve Yukarı İngilizler; kg; 1700m; Kum;;;;Rekor Derece :1.45.39
İkramiye;;;;;Yetiştirici Primi;;;;
1.)210.000 TL;2.)84.000 TL;3.)42.000 TL;4.)21.000 TL;5.)10.500 TL;1.)37.800 TL;2.)15.120 TL;3.)7.560 TL;4.)3.780 TL;5.)1.890 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;BLACK STONE DB SKG SK;4y a  a;VOODOO SONG (USA);PRENSES MELEK;61;M.ŞAKİR AP;MEHMET ÇİZİK;M.ÇİÇEK;8;%21.5(1);35;1:58.50;2,90;Boyun
2;PİTON KIZ DB SKG SK;3y d  d;MER DE GLACE (JPN);PRAESEPE (GB);54,5 +1.90;S.KAPLAN;ERDAL YAVUZEL;T.ÇİZİK;5;%16.86(3);34;1:58.53;4,35;1,5  Boy
3;JİNORA KG K DB;4y d k;TIZWAY (USA);JUNGLE LAW;57;A.AKDEMİR;MUZBAH YARDIMCI;A.YARDIMCI;7;%5.13(8);23;1:58.74;15,95;Boyun
4;MİRA CETİ SKG SK;3y d  d;SHAMALGAN (FR);ABOVE BOARD (FR);53,5 +2.00;A.H.BAYAR;FIRAT TEKİNALP;H.TEKİNALP;1;%12.14(4);32;1:58.80;7,45;At Başı
5;VOICE OF REASON DB SK;4y d  a;TIZWAY (USA);HOLD THAT MELODY;50 +2.00;Ç.CANPOLAT AP;MEHMET KAYA;MEHM.KAYA;9;%6.7(6);6;1:58.80;4,10;
6;ATOM AYŞE DB SK;5y d k;SMART ROBIN (JPN);BERMUDA;60,5;İ.KATAR;İBRAHİM CANLIKA;B.DEMİRKAPU;6;%8.51(5);28;1:58.83;11,45;
7;PROMISE ME DELIGHT KG DB SK;4y d k;BODEMEISTER (USA);SHINING GOLD;59,5 +0.10;L.TAPTIK AP;KAZIM YARAREL;B.DEMİRKAPU;4;%4.84(9);34;1:59.10;22,25;
8;HOT WARRIOR K;4y d k;HOT CHOCOLATE;NORTHERN WARRIOR;58 +2.00;M.P.DEMİR AP;SERDA TANDOĞAN KURU;H.TEKİNALP;3;%6.67(7);29;1:59.45;13,60;
9;AY ÇÖLÜ KG DB SK;4y d k;ENYALIOS;KEBERLİ SULTANI;62,5;N.ALTIN;YUSUF ZİYA KARAKUŞ;M.A.SUBAY;2;%17.64(2);34;2:00.91;3,80;
GANYAN(1) :2,90 TL, İKİLİ(1/3) :13,20 TL, SIRALI İKİLİ(1/3) :21,15 TL, ÜÇLÜ BAHİS(1/3/8) :364,70 TL, PLASE(1) :1,05 TL, PLASE(3) :1,05 TL, 2. ÇİFTE(4/1) :32,30 TL

4. Kosu :   22.30;Handikap 14 /H3; 3 Yaşlı İngilizler; kg; 1900m; Kum;;;;Rekor Derece :1.58.90
İkramiye;;;;;Yetiştirici Primi;;;;
1.)280.000 TL;2.)112.000 TL;3.)56.000 TL;4.)28.000 TL;5.)14.000 TL;1.)50.400 TL;2.)20.160 TL;3.)10.080 TL;4.)5.040 TL;5.)2.520 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;BERAT KAAN KG K DB;3y d  e;EPAULETTE (AUS);BELEKİ;61;N.ALTIN;MEHMET ALBAYRAK;Y.BAYSAL;4;%28.23(1);44;2:09.02;3,50;14 Boy
2;LEGANDARY WARRIOR SKG SK;3y a  e;TOCCET (USA);ZAHİDE HANIM;58;F.YARDIMCI;MUSTAFA DOĞAN;MUR.DOĞAN;7 - DS;%19.33(3);38;2:11.35;2,95;5 Boy
3;KING ANCESTOR DB SKG SK;3y d  e;INVINCIBLE SON (IRE);ENDLESS EXPANSE (IRE);57,5 +0.40;M.IŞIK;MEHMET CANLIKA ;AB.AKIL;2;%23.26(2);37;2:12.16;2,80;10 Boy
4;NATIONAL HERO KG DB SK;3y d  e;SQUAD;ADALYN;55,5 +2.00;Y.CENGİZ;ALİ ŞAHİN;E.ALTIN;3;%11.77(4);33;2:13.82;5,95;15 Boy
5;SILVEN DB SKG SK;3y k  e;KIRCAALİ;RUSE;56 +2.00;İ.KATAR;FIRAT TEKİNALP;H.TEKİNALP;6;%9.63(5);34;2:16.31;5,80;
6;CROWN TOZAN KG DB;3y d  e;SUPER ALP (USA);ENRICHING GIRL;50,5 +1.80;Ç.CANPOLAT AP;CANER ARIK;E.ALTIN;1;%3.03(7);23;2:17.93;18,65;
7;QUEEN OF VICTORY KG DB SK;3y d  d;MENDIP (USA);VEDRANA;56 +1.80;L.TAPTIK AP;MUHAMMED ALİ ÇİZİK;T.ÇİZİK;5;%4.75(6);39;2:48.12;8,75;
GANYAN(1) :3,50 TL, İKİLİ(1/2) :8,25 TL, SIRALI İKİLİ(1/2) :14,45 TL, ÜÇLÜ BAHİS(1/2/3) :89,80 TL, 3. ÇİFTE(1/1) :11,05 TL

5. Kosu :   23.00;Handikap 15/DHÖW /H3; 4 ve Yukarı Araplar; kg; 1900m; Kum;;;;Rekor Derece :2.10.86
İkramiye;;;;;Yetiştirici Primi;;;;
1.)350.000 TL;2.)140.000 TL;3.)70.000 TL;4.)35.000 TL;5.)17.500 TL;1.)63.000 TL;2.)25.200 TL;3.)12.600 TL;4.)6.300 TL;5.)3.150 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;KOCA SABRİ KG DB SK;4y k  a;BABA MEVLÜT;TAMERİNKIZI;56,5;N.ALTIN;SERKAN AKSU;M.ÇİÇEK;6;%52.98(1);44;2:25.51;1,25;2 Boy
2;AKGOLD DATÇA KG SK;5y k  a;AKARÇAY;SABAH YAĞMURU;56,5 +1.40;H.ALTUNDAĞ;MEHMET EMİN AKBALIK;İ.ATMACA;7 - DS;%7.07(5);40;2:25.83;12,00;2,5 Boy
3;SON AKTAŞ KG GKR;6y k  a;AKTAŞOĞLU;ARATHANIM;55 +1.10;A.H.BAYAR;ADEM AKTAŞ;EKR.YARDIMCI;1;%4.69(6);37;2:26.23;10,65;9,5 Boy
4;RÜZGAR DELEN KG DB SK;5y a  a;SERHANTAY;KINALIGELİN;60;M.ŞAKİR AP;VEYSİ KABAL;EKR.YARDIMCI;5;%7.07(4);51;2:27.79;8,30;2,5 Boy
5;KRAL YAZICI KG K DB;5y k  a;AYABAKAN;BEYAZ KELEBEK;61;İ.KATAR;NAGİHAN TOKMAK;RES.KAYA;2;%2.44(8);49;2:28.22;11,20;
6;UMUDUM DENİZ KG SK;4y a  a;ALTINCI HİS;ASMİN KIZI;53 +2.00;E.AKKILIÇ;HELİN AKIL;O.GÖRMEZ;3;%10.45(3);37;2:32.94;7,30;
7;KEYNEK SEMEND KG SK;5y a k;SEMEND;ALTINYAĞMUR;61;M.P.DEMİR AP;ALİ KARAKAN;K.TAŞDEMİR;8 - DS;%12.29(2);53;2:41.64;7,45;
8;EGELİ EFE KG SK GKR;5y a  a;YAKUPBEY;DİYARKIZI;51 +2.00;H.YÖNDEN AP;SİNAN SADIK BİÇER;B.DEMİRKAPU;4;%3(7);29;2:50.19;18,70;
GANYAN(4) :1,25 TL, İKİLİ(4/5) :6,65 TL, SIRALI İKİLİ(4/5) :9,60 TL, ÜÇLÜ BAHİS(4/5/6) :84,40 TL, PLASE(4) :1,05 TL, PLASE(5) :1,05 TL, 4. ÇİFTE(1/4) :4,90 TL

6. Kosu :   23.30;ŞARTLI 19; 3 Yaşlı İngilizler; 58.00kg; 1200m; Kum;;;;Rekor Derece :1.10.63
İkramiye;;;;;Yetiştirici Primi;;;;
1.)395.000 TL;2.)158.000 TL;3.)79.000 TL;4.)39.500 TL;5.)19.750 TL;1.)94.800 TL;2.)37.920 TL;3.)18.960 TL;4.)9.480 TL;5.)4.740 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;AYHAN IN MY HEART SKG SK;3y d  e;FIRE AND SMOKE;SCENT OF VICTORY;60;F.YARDIMCI;AZİZ ÇİZİK;M.ÇİÇEK;6;%25.22(1);26;1:19.53;1,95;Yarım Boy
2;THAT BEATS ALL K DB;3y d  e;AIR VICE MARSHAL (USA);TOMESCU (AUS);56 +0.20;N.ALTIN;ÖZLEM TEKİNALP;E.ALTIN;2;%10.22(6);27;1:19.63;8,00;1,5  Boy
3;ZAEDNO KG K DB;3y d  e;NOBEL PRIZE (IRE);SILVER SHOES;56 +2.00;İ.KATAR;ÖMER DEMİR;S.KARAKEÇİLİ;3;%3.29(8);21;1:19.84;16,90;2,5 Boy
4;KING EYMEN KG SK;3y d  e;BODEMEISTER (USA);KIZIL TÜRE;56;E.AKKILIÇ;HÜSEYİN DİLBER;Ö.GÜNDÜZ;14;%1.2(11);26;1:20.21;31,15;1,5  Boy
5;FERZANA KG K ÖG;3y a  d;EUPRHATES (USA);MERCANKIZ;54 +2.00;S.KAPLAN;HALİL GÜRLER;S.KARAKEÇİLİ;15 - DS;%1.04(13);18;1:20.45;50,60;
6;TRY YOU WANT DB SKG SK;3y d  e;KLIMT (USA);KATYA;53;Ç.CANPOLAT AP;SADIK ÇETİN;H.TEKİNALP;9;%1.09(12);20;1:21.06;33,50;
7;KING BOREAS DB SKG SK;3y d  e;TIZWAY (USA);ELLA;60;A.AKDEMİR;GİZEM ÇAKMAKOĞLU;MEHM.KAYA;4;%12.16(3);24;1:21.35;8,80;
8;DÜŞES KG K DB;3y d  d;BODEMEISTER (USA);SAINT TROPEZ;51 +2.00;H.YÖNDEN AP;HALAF ASLAN;K.TAŞDEMİR;10;%0.61(14);15;1:22.25;62,60;
9;AEMOND SK;3y k  e;NATIVE KHAN (FR);MEMBRAN GRADE;58;A.H.BAYAR;MEHMET ALİ BECENE;MEHM.KAYA;1;%5.68(5);22;1:22.50;7,95;
10;KAPLAN ATEŞİ KG DB SK;3y a  e;FINESSE;MY BIG DREAM;56 +1.80;Y.CENGİZ;SAVAŞ ERCÜMENT BECENE;At Sahibi;13;%2.73(9);29;1:22.67;18,35;
11;LIGHT OF HOPE KG DB SK;3y d  d;BODEMEISTER (USA);SWIFT MACHINE;56 +2.00;M.IŞIK;MUHAMMED ŞERİF FELHAN;A.AKBABA;12;%2.26(10);12;1:24.36;28,60;
12;BAD BOYS KG SK;3y d  e;BLUEGRASS CAT (USA);NUIT BLANCHE;58;H.ALTUNDAĞ;VEDAT ÇİÇEK;E.AÇMAZ;11;%11.76(4);31;1:24.41;8,10;
13;MR MASTER KG K DB;3y d  e;BODEMEISTER (USA);RAIN DROP;56 +1.50;A.ÇANKAYA AP;İZZETTİN SUNKAR;MEHM.KAYA;7;%14.44(2);;1:24.58;5,70;
14;BOMBAZO KG SK;3y d  e;BODEMEISTER (USA);LITTLE ROCKET (USA);58 +2.00;M.P.DEMİR AP;İRFAN KARAKEÇİ;Z.AKDEMİR;8;%3.47(7);;1:24.72;16,15;
15;KING OF DEEP SKG SK;3y d  e;KING OF THE SUN;DEEP ALP;55 +2.00;M.ŞAKİR AP;MEHMET ALİ BECENE;MEHM.KAYA;5;%4.82(5);25;1:27.49;7,95;
[(11)AEMOND,(4)KING OF DEEP,] eküridir.GANYAN(1) :1,95 TL, 6'LI GANYAN(10/4/1/1/4/1) :3.232,55 TL, 5'Lİ GANYAN(4/1/1/4/1) :761,25 TL, 4'LÜ GANYAN(1/1/4/1) :101,85 TL, 3'LÜ GANYAN(1/4/1) :37,30 TL, İKİLİ(1/7) :11,30 TL, SIRALI İKİLİ(1/7) :18,70 TL, PLASE(1) :1,05 TL, PLASE(7) :1,45 TL, PLASE İKİLİ(1/7) :12,60 TL, PLASE İKİLİ(1/8) :40,50 TL, PLASE İKİLİ(7/8) :78,60 TL, SIRALI 5 Lİ BAHİS(1/7/8/6/9) :125.343,68 TL, TABELA BAHİS(1/7/8/6) :5.398,20 TL, TABELA BAHİS SIRASIZ(1/7/8/6) :385,57 TL, 5. ÇİFTE(4/1) :5,25 TL

