Ankara;(15. Yarış Günü);23/05/2026
1. Kosu :   13.30;Maiden/DHÖW; 3 Yaşlı Araplar; 57.00kg; 1200m; Kum;;;;Rekor Derece :1.20.56
İkramiye;;;;;Yetiştirici Primi;;;;
1.)600.000 TL;2.)240.000 TL;3.)120.000 TL;4.)60.000 TL;5.)30.000 TL;1.)180.000 TL;2.)72.000 TL;3.)36.000 TL;4.)18.000 TL;5.)9.000 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;PARSIBEY K;3y d  e;YILMABAŞAR;UZUN İREM;53;SERH.ÇELİK AP;ÜMİT ARSLAN;Ü.ARSLAN;2;%11.46(1);;1:24.62;1,90;1 Boy
2;ASLANLI OVA KG SK;3y a  e;SERHANTAY;ARAYEKYİ;57;MÜS.ÇELİK;HAKAN ÇELİK;MEH.ÇELİK;4;%5.85(5);;1:24.77;13,85;1 Boy
3;GÖHERBEYİ KG K;3y k  e;AFRİKAANDER;ZİLANIM;57 +0.20;H.ÇİZİK;ABDULKADİR ELĞAÇ;M.H.ELĞAÇ;9;%10.84(4);;1:24.95;7,25;6 Boy
4;ÇENGER DB SKG SK;3y k  d;ARASLI;SARIYELE;55;N.DEMİR;NURCAN ŞİMŞEK;Y.UÇAR;10;%2.33(8);17;1:25.90;17,05;1,5  Boy
5;ŞENOĞLAN KG K;3y a  e;GÜRGÖKÇE;SUDENAZ KIZ;57 +0.30;SAL.ÇELİK;NECATİ ŞİMŞEK;C.KARATAŞ;5;%5.32(6);;1:26.12;13,75;
6;URFA BEYİ KG SK;3y k  e;DERHADIR;İSTAMBUL KIZI;57;Ö.YILDIRIM;MEHMET CAMUZ;E.ÇETİNKURT;8;%20.51(3);;1:26.82;4,15;
7;SÜPEROĞLAN KG;3y d  e;ENDEREFE;ASLIDİLAN;57;G.KOCAKAYA;ÜMİT ARSLAN;Ü.ARSLAN;7;%16.2(1);;1:27.48;1,90;
8;KESTEL YİĞİDİ DB SK;3y k  e;MADRABAZ;KESTEL;57;M.S.ÇELİK;MEHMET ALİ KATI;H.SUNKAR;1;%22.4(2);31;1:30.12;3,25;
9;AHTER KIZ K;3y d  d;BABA MEVLÜT;TÜLİN;55 +2.00;M.AKYAVUZ;KEMAL ALTIN;A.E.BAŞ;3;%3.1(7);;1:33.14;20,40;
10;AYDAKAREN KG DB SK;3y d  d;ENDEREFE;DİLAZAT;55;F.S.M.SANSAR;MAZLUM KÖKLİ;MER.KORKMAZ;11;%1.87(9);;1:33.44;39,65;
11;ALUDRA KG K (Koşmaz);3y k  d;SEÇKİN BEY;İDAL SULTAN;51;D.KİP AP;MEHMET ALİ BECENE;M.DEMİROL;6;%0.1(10);;Koşmaz;;
[(4)PARSIBEY,(5)SÜPEROĞLAN,] eküridir.GANYAN(4) :1,90 TL, İKİLİ(1/4) :49,70 TL, SIRALI İKİLİ(4/1) :77,05 TL

2. Kosu :   14.00;ŞARTLI 3; 3 Yaşlı İngilizler; 58.00kg; 2200m; Çim;;;;Rekor Derece :2.14.10
İkramiye;;;;;Yetiştirici Primi;;;;
