Adana;(5. Yarış Günü);17/05/2026
1. Kosu :   18.30;Handikap 15 /H2; 3 Yaşlı İngilizler; kg; 2000m; Kum;;;;Rekor Derece :2.06.32
İkramiye;;;;;Yetiştirici Primi;;;;
1.)490.000 TL;2.)196.000 TL;3.)98.000 TL;4.)49.000 TL;5.)24.500 TL;1.)88.200 TL;2.)35.280 TL;3.)17.640 TL;4.)8.820 TL;5.)4.410 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;LAST LEVEL KG DB SK;3y d  e;PAPA CLEM (USA);JOZEFINA;54,5 +1.00;MÜS.ÇELİK;AİT ÇELİK;M.DAŞ;2;%9.37(5);29;2:14.62;9,30;Yarım Boy
2;MERT KHAN KG K;3y d  e;NATIVE KHAN (FR);PHOEBE BUFFAY;61;N.DEMİR;MURAT KAHRAMAN;Y.TUNCAY;7;%18.19(2);42;2:14.71;5,05;1,5  Boy
3;TAKEACHANCEONME K SKG;3y d  e;APPROVE (IRE);MO NAME (FR);50 +1.70;M.BAYIR;B.BALKAR BALKAROĞLU;V.TEKİN;8;%8.26(6);15;2:14.92;8,45;4,5 Boy
4;SERREŞ SKG SK;3y d  e;EUPRHATES (USA);TIRAULI (IRE);59;SAL.ÇELİK;CEMAL DURMAZ;M.ASLAN;9;%15.94(3);38;2:15.82;6,45;Baş
5;ROYALGUARD DB SK;3y a  e;SUPER SAVER (USA);WILLPOWER;57,5;F.YARDIMCI;NEDİM KARAKEÇİ;AR.KILIÇ;4;%33.35(1);35;2:15.85;1,30;
6;FANDOROS SKG SK ÖG;3y d  e;TIZWAY (USA);QUEEN DERYA (USA);54,5;M.AKDAĞ AP;ÜMİT KORKMAZ;Y.BAYSAL;1;%2.68(7);29;2:16.05;31,35;
7;RAMSGATE K;3y d  e;HAKEEM (USA);TOUCH OF CLASS;50 +1.90;E.TUNÇ;İBRAHİM AYDOĞDU;M.TEK;3;%1.14(8);10;2:17.56;42,70;
8;SILVEN DB SKG SK;3y k  e;KIRCAALİ;RUSE;57;M.KESKİN;FIRAT TEKİNALP;OS.DEMİR;6;%10.35(4);34;2:18.90;13,95;
9;IRONFACE DB SK;3y d  d;BLUEGRASS CAT (USA);CHARLEVOIX (USA);50 +2.00;M.T.COŞKUN AP;SEMİH POLAT;S.EREN;5;%0.74(9);9;2:24.33;54,90;
GANYAN(6) :9,30 TL, İKİLİ(1/6) :21,10 TL, SIRALI İKİLİ(6/1) :52,45 TL

2. Kosu :   19.00;ŞARTLI 3/DHÖW; 3 Yaşlı Araplar; 57.00kg; 1100m; Çim;;;;Rekor Derece :1.11.40
İkramiye;;;;;Yetiştirici Primi;;;;
1.)400.000 TL;2.)160.000 TL;3.)80.000 TL;4.)40.000 TL;5.)20.000 TL;1.)120.000 TL;2.)48.000 TL;3.)24.000 TL;4.)12.000 TL;5.)6.000 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;HÜKÜMLÜ KG SK;3y d  e;SAADIN GÜCÜ;KISRAK GÜZELİ;57;M.AKYAVUZ;SELAMİ KIZILKAYA;S.AKYAVUZ;5;%68.16(1);48;1:11.40;1,25;6,5 Boy
2;FERİTBATUR KG K;3y k  e;FERİT BABA;KÜÇÜKEMİNE;54 +0.90;MÜS.ÇELİK;FATMA KAN;F.BAKAY;2;%10.81(3);;1:12.46;4,20;6,5 Boy
3;SERVER BEYİM KG;3y d  e;AFRİKAANDER;KARA KİRAZ;56;M.KIYAK AP;MUSTAFA ALAK;F.DEMİR;4;%15.83(2);42;1:13.65;3,95;Yarım Boy
4;HAYATA İNAT GÜLÜMSE;3y a  e;GÜMBÜRGÜMBÜR;GARANTÖR;54 +1.50;M.N.SUNKAR;AHMET GÜNER;H.ÇALI;1;%3.01(4);;1:13.72;8,95;15 Boy
5;FIRTINA VEYSİ KG DB SK;3y k  e;BİLDENHAN;SONGÜZ;55 +2.00;M.ŞAKİR AP;NEŞET AKYAVUZ;S.AKYAVUZ;3;%1.21(5);;1:16.67;16,65;
6;ÇAKIRDAMLA KG K DB;3y a  d;SERHANTAY;İKİSAKİN;52 +2.00;İ.AKIN AP;SALİH ERTEN;F.DEMİR;6;%0.97(6);;1:20.07;19,50;
GANYAN(2) :1,25 TL, SIRALI İKİLİ(2/3) :3,80 TL, 1. ÇİFTE(6/2) :16,10 TL

