Ankara;(18. Yarış Günü);30/05/2026
1. Kosu :   13.00;Maiden/DHÖW/Dişi; 3 Yaşlı Araplar; 57.00kg; 1200m; Çim;;;;Rekor Derece :1.16.76
İkramiye;;;;;Yetiştirici Primi;;;;
1.)600.000 TL;2.)240.000 TL;3.)120.000 TL;4.)60.000 TL;5.)30.000 TL;1.)180.000 TL;2.)72.000 TL;3.)36.000 TL;4.)18.000 TL;5.)9.000 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;VARGASKAYA KG K DB;3y a  d;KAYAYÜREKLİ;DJARMINA (FR);54 +2.00;ER.CANKILIÇ AP;HÜSEYİN KAYA;M.DEMİRTAŞ;1;%17.35(2);;1:19.67;5,15;Burun
2;HOŞBAKIŞ KG;3y k  d;ÖZGÜNHAN;HOŞNUR;57 +0.30;H.ÇİZİK;MERAL ÖZKAN;MEH.AKKUŞ;10;%40.16(1);30;1:19.68;1,50;7 Boy
3;AKÇALIKIZ KG SK;3y a  d;ÖZGÜNHAN;YAŞIN TAY;57;M.S.ÇELİK;MEHMET ÇELİK;M.DAŞ;4;%8.03(5);;1:20.72;8,70;1 Boy
4;CABİREKIZIM KG SK;3y a  d;GELİBOLU;CABİRE;57;V.ABİŞ;ESRA YILMAZ;O.ALTUNTAŞ;6;%11.33(4);;1:20.88;5,50;Baş
5;ARKAZGÜLÜ KG SK;3y a  d;ÖZGÜNHAN;HUNATHATUN;57 +0.20;M.KAYA;BEŞİR KAYA;RAM. KAYA;8;%5.37(6);23;1:20.90;12,95;
6;ZEYTİN DİBİ KG K;3y k  d;BERKSOY;ÖZBAŞAK;53 +0.20;M.T.COŞKUN AP;ZEYNEL ALTUNBAŞ;RAM. KAYA;3;%0.38(10);11;1:21.12;44,20;
7;BEYZA SU KG SK;3y k  d;DENİZİM;ZİYADE;57;MÜS.ÇELİK;SEMRA AKSU;T.O.KARA;2;%2.53(7);;1:22.50;27,25;
8;ÇENGER DB SKG SK;3y k  d;ARASLI;SARIYELE;57;N.DEMİR;NURCAN ŞİMŞEK;Y.UÇAR;9;%2.31(8);24;1:22.51;20,95;
9;HAYDİ BİTANEM SK;3y k  d;DÖVER;TURBONUN KIZI;57;E.ÇİZİK;ALİ ÇELİK;M.DEMİROL;7;%12.06(3);;1:23.98;7,05;
10;AŞİNATAY DB SKG SK;3y k  d;ENDEREFE;LÜLETAŞI;57;M.N.SUNKAR;İBRAHİM HAKKI BOYRAZ;MER.KORKMAZ;5;%0.48(9);9;1:27.28;58,25;
GANYAN(9) :5,15 TL, İKİLİ(8/9) :4,20 TL, SIRALI İKİLİ(9/8) :10,50 TL

2. Kosu :   13.30;SATIŞ 2; 3 ve Yukarı İngilizler; 51.50kg; 60.00 kg; 61.50 kg; 2000m; Kum;;;;Rekor Derece :2.06.89
İkramiye;;;;;Yetiştirici Primi;;;;
1.)560.000 TL;2.)224.000 TL;3.)112.000 TL;4.)56.000 TL;5.)28.000 TL;1.)100.800 TL;2.)40.320 TL;3.)20.160 TL;4.)10.080 TL;5.)5.040 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;KING MALKOÇ KG K DB;5y d  a;AUTHORIZED (IRE);TROPICAL THUNDER;58,5;SAL.ÇELİK;MEHMET CAHİT MALKOÇ;A.ÇIKMAN;2;%14.28(4);58;2:13.04;6,05;5 Boy
2;ZELUCCİ SK;4y d k;TERRITORIES (IRE);PINK TEQUILA (GB);58;M.KAYA;SELİM KAYA;HÜS.KAYA;6;%14.97(3);87;2:14.10;3,70;Baş
3;FEMALE EAGLE KG SK;4y d k;COOGER;WESTERN LADY;56;M.BAYIR;BÜLENT CANGİR;A.ÇİFTÇİ;5;%8.96(6);60;2:14.12;10,35;1,5  Boy
4;AFTER YOU KG SK;4y d  a;DAI JIN (GB);URFAGÜLÜ;58 +0.10;M.S.ÇELİK;YÜKSEL TEKİNALP;K.TEKİNALP;4;%21.78(1);73;2:14.33;2,65;4 Boy
5;SECRET MAN DB SKG SK;4y a  a;TRAPPE SHOT (USA);RAINSTORM;59;V.ABİŞ;MÜSLÜM ŞİMŞEK;HÜS.KAYA;1;%11.47(5);69;2:15.01;6,25;
6;SARPTAY K DB;6y a  a;CORINTHIAN (USA);PETEK SULTAN;54,5 +1.00;F.S.M.SANSAR;OKTAY SERİCİ;A.ÇIKMAN;8 - DS;%7.26(7);84;2:21.83;6,65;
7;RÜZGAR UĞUR DB SK;6y a  a;SIDNEY'S CANDY (USA);PASİFİKA;56,5 +0.70;A.ÇELİK;MEHMET ÇELİK;M.DAŞ;3;%20.65(2);81;2:31.67;4,20;
8;SIR POTTER KG SK;3y d  e;AUTHORIZED (IRE);PAST INSIDE ME;51,5 +2.00;Y.GÖKÇE AP;AYTEKİN ŞEN;M.ÖZYİĞİT;7;%0.64(8);12;Derecesiz;32,75;
GANYAN(2) :6,05 TL, İKİLİ(2/4) :17,70 TL, SIRALI İKİLİ(2/4) :41,60 TL, ÜÇLÜ BAHİS(2/4/6) :498,50 TL, PLASE(2) :1,90 TL, PLASE(4) :1,20 TL, 1. ÇİFTE(9/2) :30,50 TL

3. Kosu :   14.00;Maiden/DHÖW/Dişi; 3 Yaşlı Araplar; 57.00kg; 1200m; Çim;;;;Rekor Derece :1.16.76
İkramiye;;;;;Yetiştirici Primi;;;;
1.)600.000 TL;2.)240.000 TL;3.)120.000 TL;4.)60.000 TL;5.)30.000 TL;1.)180.000 TL;2.)72.000 TL;3.)36.000 TL;4.)18.000 TL;5.)9.000 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;RAHİME ABLA KG K;3y k  d;DÖVER;İÇİMSU;57 +0.40;H.ÇİZİK;EMİN ÇELİK;M.DEMİROL;10;%8.84(4);;1:20.10;8,70;4,5 Boy
2;SERÇE KIZI SKG SK;3y a  d;FATİH AĞA;ZÜMRANUR;57 +0.10;F.ÇETİNBAŞ;MEHMET KILIÇ;Ş.OLĞAÇ;2;%2.72(7);12;1:20.76;15,35;Yarım Boy
3;GÜNEŞMİLA KG K;3y a  d;BERKSOY;ALKİRAZ;59;M.KAYA;BEŞİR KAYA;RAM. KAYA;9;%17.95(2);34;1:20.82;4,70;8 Boy
4;MAHPAREM KG;3y d  d;BAHARŞAH;AL WASSEN;57;M.KESKİN;ABDULLAH KAYA;HÜS.KAYA;4;%0.88(10);10;1:22.05;27,90;1,5  Boy
5;AKBURÇAK KG SK;3y d  d;BABA MEVLÜT;SÜMEYYE;53;M.UYAR AP;İBRAHİM KAYA;RAM. KAYA;7;%12.97(3);;1:22.29;4,40;
6;LADY SEVGİ KG;3y k  d;GÜMBÜRGÜMBÜR;HIRSLI;57 +0.30;SAL.ÇELİK;NİHAD KAYĞIN;İ.SAYIS;5;%5.82(5);;1:22.61;13,10;
7;KATI HANIM KG DB SK;3y d  d;KATI SEMİH;SİTARE;57;M.N.SUNKAR;MİTHAT KATI;Y.TUNCAY;1;%2.52(8);17;1:24.38;10,55;
8;ÜÇKONAKLI KG DB SK;3y k  d;SAKARBAŞI;AYHATUNKIZI;57;F.S.M.SANSAR;MUHAMMET FELHAN;S.POLAT;3;%5.08(6);25;1:25.05;17,50;
9;TEKTEN SEVGİ KG DB SK;3y d  d;FİRİKYA;HİYEM;57;M.G.ARSLAN;AYFER ŞİMŞEK;T.O.KARA;6;%0.91(9);;1:27.76;43,55;
10;SOYKAN GÜZELİ KG DB SK;3y a  d;GÜMBÜRGÜMBÜR;GÖNÜLGÜZELİ;57;MÜS.ÇELİK;MEHMET ÖZTEKİN;İ.ÇEÇAN;8;%42.31(1);34;Derecesiz;1,70;
GANYAN(6) :8,70 TL, İKİLİ(6/7) :101,25 TL, SIRALI İKİLİ(6/7) :220,65 TL, ÜÇLÜ BAHİS(6/7/1) :1.904,10 TL, PLASE(6) :3,70 TL, PLASE(7) :6,95 TL, PLASE İKİLİ(1/6) :12,30 TL, PLASE İKİLİ(1/7) :30,20 TL, PLASE İKİLİ(6/7) :72,50 TL, 2. ÇİFTE(2/6) :86,65 TL

4. Kosu :   14.30;ŞARTLI 4/Y1; 3 ve Yukarı İngilizler; 53.00kg; 60.00 kg; 60.50 kg; 1500m; Kum;;;;Rekor Derece :1.31.14
İkramiye;;;;;Yetiştirici Primi;;;;
1.)595.000 TL;2.)238.000 TL;3.)119.000 TL;4.)59.500 TL;5.)29.750 TL;1.)107.100 TL;2.)42.840 TL;3.)21.420 TL;4.)10.710 TL;5.)5.355 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;SELANİK ASLANI KG SK;6y a  a;LION HEART (USA);SEA SECRET;56,5;B.KELEŞOĞLU;HALUK CANÇEKER;İ.KÖROĞLU;6;%64.8(1);98;1:34.93;1,35;1,5  Boy
2;YES GRASYAS KG SK;4y a  a;LION HEART (USA);SİELA;60;Y.GÖKÇE;İ.HALİL KAN;S.KAN;5;%12.36(2);73;1:35.16;4,65;1 Boy
3;NIGHTFLYERS KG DB SK;4y a  a;SIDNEY'S CANDY (USA);ANOTHERMOUTHTOFEED (USA);60;E.ATLAMAZ;ARZU GÜNEŞ;Y.DEMİR;3;%8.78(4);84;1:35.30;6,95;12 Boy
4;CATALYST K DB;4y a  a;APPROVE (IRE);MY KONOS;56;M.T.COŞKUN;İSA YÜKSEL;KAD.BALTACI;4;%10.27(3);71;1:37.24;4,00;7 Boy
5;ÇAĞANIM DB SK;5y d  a;LION HEART (USA);TALİA HANIM;56,5;T.BALİ;ALİ YAVUZ;İ.KÖROĞLU;2;%2.57(5);79;1:38.35;10,45;
6;MY SİXTH SENSE KG DB SK;4y k  a;SEVENTH SENSE;FLICK THE SWITCH;57;M.UYAR;OSMAN Z. TEKİNALP;S.POLAT;1;%1.21(6);68;1:39.30;15,30;
GANYAN(3) :1,35 TL, SIRALI İKİLİ(3/2) :4,45 TL, 3. ÇİFTE(6/3) :16,85 TL

5. Kosu :   15.00;Handikap 15 /H2; 3 Yaşlı İngilizler; kg; 1900m; Çim;;;;Rekor Derece :1.53.13
İkramiye;;;;;Yetiştirici Primi;;;;
1.)595.000 TL;2.)238.000 TL;3.)119.000 TL;4.)59.500 TL;5.)29.750 TL;1.)107.100 TL;2.)42.840 TL;3.)21.420 TL;4.)10.710 TL;5.)5.355 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;MİR EMRE K;3y a  e;FINESSE;SILENT FORCE;52,5 +1.90;MÜS.ÇELİK;SONEL TAŞAN;M.Ş.KILINÇ;3;%19.87(3)  %23.59(2);40;1:55.24;3,30;2 Boy
2;GOLDEN BEE K DB SK;3y a  e;RUN AWAY AND HIDE (USA);DIAMOND LIFE;52 +2.00;M.G.ARSLAN;EMRE AKIN;H.KABUKCI;11 - DS;%4.78(7)  %4.16(7);28;1:55.54;15,50;1 Boy
3;FOR FREEDOM KG K;3y a  e;LION HEART (USA);MISS WOLF;52 +2.00;N.DEMİR;MEHMET OZAN ANAÇ;S.GÜRKAN;6;%5.88(6)  %5.02(6);38;1:55.70;13,30;3 Boy
4;GOLDEN PROMISE KG K;3y d  e;TIZWAY (USA);VICTORY PROMISE;58;M.T.COŞKUN AP;ERDEM BEKMEZCİ;Y.YILDIZ;7;%10.3(4)  %9.2(4);57;1:56.13;8,95;3,5 Boy
5;ANGLE RISING KG K;3y d  e;TOROK (IRE);GELANA;57,5;E.ÇANKAYA;MURAT ÇETİNEL;E.KARATAŞ;10 - DS;%21.56(1)  %24.35(1);50;1:56.71;2,40;
6;LADY BEGÜM DB SK;3y d  d;TOROK (IRE);CHERI CHERI LADY;54;V.ABİŞ;BEGÜM YARAREL;İB.B.OĞULLARI;9;%21.45(2)  %19.9(3);43;1:57.51;2,80;
7;TERCAL NİHAT DB SK;3y a  e;FINESSE;DELAL SULTAN;51,5 +2.00;M.KESKİN;FETİ DAĞ;Y.UÇAR;8;%1.95(8)  %1.75(8);38;1:58.75;29,25;
8;MIZMIZ MYRTLE KG SK;3y d  d;TILSIT (USA);ALLORA;53,5 +1.50;F.S.M.SANSAR;ALİ RIZA KÖSEALİ;HÜS.TEKİNALP;5;%1.8(9)  %1.45(9);42;2:00.17;27,50;
9;EARTHQUAKE KG SK;3y a  e;SADLER'S JOY (USA);DREAMING OF STELLA (IRE);50 +2.00;M.BAYIR;MAHMUT SEVİM;SEV.BEKTAŞ;4;%6.42(5)  %5.36(5);34;2:01.62;11,05;
10;CRAZY DILDAR DB SK (Koşmaz);3y d  e;KANEKO;KHALESSİ;52 +2.00;M.A.AKGÖBEK;CEMAL YILDIZ;Y.UÇAR;1;%5.97(10)  %5.21(10);38;Koşmaz;;
11;HUAYRA SK (Koşmaz);3y d  e;AUTHORIZED (IRE);ALTINBAŞAK;52;E.ATLAMAZ AP;GÜLİZAR YANIK;M.DOLAK;2;%0.01(11)  %0(11);35;Koşmaz;;
