İstanbul;(11. Yarış Günü);08/05/2026
1. Kosu :   17.15;Handikap 15 /H2; 3 Yaşlı İngilizler; kg; 1200m; Çim;;;;Rekor Derece :1.08.52
İkramiye;;;;;Yetiştirici Primi;;;;
1.)595.000 TL;2.)238.000 TL;3.)119.000 TL;4.)59.500 TL;5.)29.750 TL;1.)107.100 TL;2.)42.840 TL;3.)21.420 TL;4.)10.710 TL;5.)5.355 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;CHOSEN ONE DB SKG SK;3y a  e;CRIMEAN TATAR;GOLDEN RATIO;58,5;A.KURŞUN;SERVET KAZANKAYA;T.YILMAZ;7;%21.82(2);51;1:11.37;5,55;Boyun
2;KRAL OSIMHEN K;3y d  e;BODEMEISTER (USA);STEEL CAT;57;B.ÇETİN AP;TAHİR ÇELİK;A.TEKDEMİR;9;%3.07(8);54;1:11.41;57,80;3 Boy
3;GLONASS KG DB SK;3y d  e;RULER OF THE WORLD (IRE);DANDY STORY (IRE);51 +2.00;A.ASLAN;ENDER COŞGUNSU;GÜV.GÖKÇE;2;%3.1(7);36;1:11.79;38,20;1,5  Boy
4;SKY CRUISE DB SK;3y d  e;GÜNGÖR BABA;GABRIEL;54 +2.00;M.S.ÇELİK;EYYÜP AYDINLIKTA;SEN.ŞEN;1;%12.47(3);42;1:11.95;1,05;Yarım Boy
5;WEEPING SONG;3y d  d;NATIVE KHAN (FR);WHITE LILY;55,5 +1.00;A.SÖZEN;V.İBRAHİM ARACI;E.USLU;6;%12.46(4);45;1:12.05;14,95;
6;PRENS EGE SK;3y d  e;KLIMT (USA);TİKİ TAKA;55 +0.40;A.YILDIZ;AYDIN ÜSTÜNDAĞ;E.USLU;4;%30.25(1);44;1:12.15;9,25;
7;SHADOW MASTER K;3y d  e;LUXOR;SOLO GİTAR;52 +2.00;E.AKTUĞ;SİNAN AKKUŞ;A.ÖCAL;8;%2.08(9);38;1:12.50;85,30;
8;IRON CLEM DB SK;3y d  g;PAPA CLEM (USA);DEMİRSU;57;H.KARATAŞ;İLHAN KAPUSIZ;G.SÜTCÜ;5;%8.15(5);48;1:12.68;18,95;
9;KAREEM BUGHRA KG K DB GKR;3y d  e;TIZWAY (USA);STELLA ROSSA (IRE);58;U.LEVENT AP;MURAT ÖZENÇ;H.ALTUNBAŞ;10 - DS;%6.28(6);56;1:13.16;25,50;
10;WILDBERRY DB SK;3y a  d;TOUCH THE WOLF;MASMAVİ;50;R.YILDIZ AP;ENDER COŞGUNSU;GÜV.GÖKÇE;3;%0.32(7);10;1:14.40;38,20;
[(9)GLONASS,(10)WILDBERRY,] eküridir.GANYAN(3) :5,55 TL, İKİLİ(2/3) :44,45 TL, SIRALI İKİLİ(3/2) :79,95 TL

2. Kosu :   17.45;Maiden; 2 Yaşlı İngilizler; 57.00kg; 800m; Çim;;;;Rekor Derece :0.45.72
İkramiye;;;;;Yetiştirici Primi;;;;
1.)600.000 TL;2.)240.000 TL;3.)120.000 TL;4.)60.000 TL;5.)30.000 TL;1.)180.000 TL;2.)72.000 TL;3.)36.000 TL;4.)18.000 TL;5.)9.000 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;SPEED QUEEN SK;2y d  d;KANEKO;HOPEFUL;55 +0.50;A.YILDIZ;GÜLİZAR YANIK;M.DOLAK;3;%45.44(1);;0:46.31;2,30;4 Boy
2;KING CEMİL K;2y d  e;MENDIP (USA);MONTA TAMARA;57;H.ÇİZİK;SELÇUK ACAR;Ö.GÜNELİ;7;%20.84(2);;0:46.87;2,45;2 Boy
3;SECRET OF DRAGON K;2y d  d;SATONO ARES (JPN);UMAY;55 +1.30;M.S.ÇELİK;ENGİN ATEŞLER;BAY.GÜL;1;%3.9(6);;0:47.15;10,85;4 Boy
4;VICTORY MARIA K SKG;2y d  d;TIZWAY (USA);EASY COME EASY GO;55;E.ÇİZİK;BÜLENT DEMİR;H.DOLMAZ;2;%11.95(3);;0:47.68;4,65;1 Boy
5;LEONTES KG K DB;2y d  e;BODEMEISTER (USA);AMETİST;57 +0.30;M.KAYA;SELİN ERDEMİRCİ;MUR.AKKILIÇ;6;%4.01(5);;0:47.81;14,60;
6;SHAO KAHN SK;2y a  e;NATIVE KHAN (FR);İREM SU;57;A.KURŞUN;FAKİ ARDA ÖZLEN;İB.B.OĞULLARI;8;%11.72(4);;0:48.40;4,30;
7;RAZENOID KG DB SK;2y d  e;BATTLEGROUND (USA);KARATECİ EYLÜL;57;E.AKTUĞ;EBRU KARGIN;TU.TURAN;5;%1.96(7);;0:50.22;20,30;
8;SOLID TIME SK (Koşmaz);2y d  e;AUTHORIZED (IRE);KATSUYA;57;O.AKGÖNÜL AP;SEMİH KATI;MER.KORKMAZ;4;%0.18(8);;Koşmaz;;
GANYAN(7) :2,30 TL, İKİLİ(1/7) :3,35 TL, SIRALI İKİLİ(7/1) :4,70 TL, ÜÇLÜ BAHİS(7/1/6) :65,60 TL Çıkan 1 Atla: 6,70 TL, PLASE(1) :1,05 TL, PLASE(7) :1,05 TL, 1. ÇİFTE(3/7) :7,55 TL

3. Kosu :   18.30;ŞARTLI 4; 3 ve Yukarı İngilizler; 52.00kg; 60.00 kg; 61.00 kg; 1900m; Çim;;;;Rekor Derece :1.52.63
İkramiye;;;;;Yetiştirici Primi;;;;
1.)595.000 TL;2.)238.000 TL;3.)119.000 TL;4.)59.500 TL;5.)29.750 TL;1.)107.100 TL;2.)42.840 TL;3.)21.420 TL;4.)10.710 TL;5.)5.355 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;MISTER PROTEO SKG SK;6y a  a;THREE VALLEYS (USA);STELLA MIA;57;A.SÖZEN;HAKAN S. ÖZCAN;B.KAÇMAZ;1;%8.41(3);89;1:56.45;3,90;Baş
2;MASTERPIECE DB SKG SK;5y d  g;ZARAK* (FR);FALABALA (GB);59;Ö.YILDIRIM;ALİ RIZA ÇELİKOĞLU;U.BİLİK;4;%63.5(1);97;1:56.48;1,35;5,5 Boy
